Dataset,SMOTE,pf-SMOTE,Lee,SMOBD,G-SMOTE,LVQ-SMOTE,A-SMOTE,SMOTE-TL,LNE
abalone19,0.01060230640764049,0.009229697093205109,0.011280053838875228,0.008985755623305459,0.010064495811935793,0.012440503045548851,0.00999119331706758,0.01334365908320557,0.01152188749648395
abalone9-18,0.14537229452541442,0.1576085836027398,0.13831723216917113,0.14990362274563676,0.1441681041832985,0.13282255768118917,0.1551488510848204,0.13487253670074417,0.13794668145775443
ecoli-0-1-3-7_vs_2-6,0.32424518743667674,0.33310452549814246,0.3428267477203647,0.3206045254981424,0.3331045254981424,0.2863432961837217,0.33174518743667675,0.3478267477203647,0.23422346356206933
glass-0-1-6_vs_2,0.17419642857142853,0.11614267676767673,0.14908722247538034,0.17279142924976257,0.17672471432888098,0.1596822277963582,0.1619172585097507,0.17087852733686063,0.17244361665930288
glass-0-1-6_vs_5,0.4867838164251208,0.4765741890959282,0.44387077294685995,0.47944685990338165,0.3695591787439613,0.5920643547273982,0.40321859903381646,0.4867838164251207,0.40905037957211865
glass2,0.11354079767940399,0.14120914175820712,0.11778522360298058,0.10924410463423002,0.13306706187547307,0.12548928009807864,0.15905537774312364,0.1152643648321218,0.16303110053022432
glass4,0.4215561609803933,0.45052592218146287,0.44166017733440965,0.41787309325693833,0.3910848447280356,0.31463050621929123,0.40568795511218736,0.38310989929815026,0.4062354158599152
glass5,0.41414181872125794,0.41414181872125794,0.41414181872125794,0.48633808040350096,0.4277272052972988,0.5990639371013203,0.4277272052972987,0.41414181872125794,0.487986945557039
page-blocks-1-3_vs_4,0.8738135593220339,0.8244496099064067,0.8883431338637149,0.8944792064908033,0.8950282485875706,0.6802201133890275,0.8738135593220339,0.8738135593220339,0.8941240055344171
yeast-0-5-6-7-9_vs_4,0.222949818063007,0.22018382359205493,0.23513525877205083,0.21623661788733814,0.1946780248399081,0.19897395682904753,0.2122742975917523,0.2194411881228367,0.249702645903898
yeast-1-2-8-9_vs_7,0.06303178926240914,0.06760541255446152,0.06605755082975462,0.06465850781074557,0.05651856341418208,0.07090806297600215,0.0568011097223103,0.0709477110976553,0.07300384519382871
yeast-1-4-5-8_vs_7,0.055853086909481875,0.05442583553253307,0.06048320105501104,0.063440391666056,0.05754752454025338,0.04948774463457429,0.05232205901302974,0.05676676938901113,0.05080007494326305
yeast-1_vs_7,0.15853478821968528,0.14925459698846497,0.15018249640291095,0.1425455673732157,0.12510386248447872,0.14849144263927733,0.14713535033021455,0.13769840262926852,0.13994598594280433
yeast-2_vs_4,0.5076146711155638,0.5333565391060745,0.5659136109684169,0.5533566044535261,0.5077756107177451,0.5024075324976327,0.5366005237283816,0.508038454968152,0.5197950544699571
yeast-2_vs_8,0.25314419660990795,0.2865258842126061,0.24739328380038042,0.24277510443479441,0.2584969157168327,0.26949290716346674,0.2736716887308174,0.27180114586855064,0.2708609821376319
yeast4,0.1269604017746658,0.1242313382697771,0.12461734999959148,0.12632889446394197,0.11292620688651736,0.14280971697389522,0.1103697955959643,0.11285371486536078,0.13957565658029042
yeast5,0.45265080194416624,0.47345145863844784,0.46709279253612135,0.485021319258813,0.49005331181238354,0.29915576958135226,0.48150601996516984,0.45547547486650836,0.5215938107139912
yeast6,0.15842947943966992,0.17021814027546003,0.18833279330008104,0.17573515052603322,0.18224256601173083,0.12964606147310132,0.16623408017533856,0.17343882794900878,0.18045240160715229
cleveland-0_vs_4,0.34259015046404784,0.2889984488850338,0.3005330684799982,0.38154744880887614,0.2746110371852151,0.28562947032473895,0.4158383342725764,0.3487857341506098,0.27943425876600825
ecoli-0-1-4-7_vs_2-3-5-6,0.40690330043202705,0.4624919681110084,0.43261650699620624,0.4325476666375052,0.3528302941939054,0.38216490193955677,0.41417111627846576,0.4583188102460548,0.40846912886612136
ecoli-0-1_vs_2-3-5,0.46846774354971077,0.4404424923892137,0.487406027108896,0.46866737599831854,0.46612789551826433,0.4361904551504961,0.42994214932046415,0.5009510109341353,0.47282936792859137
ecoli-0-2-6-7_vs_3-5,0.39079658977386245,0.4286935314356263,0.41353699330972055,0.42670115015703247,0.45753138771820173,0.46549307227224845,0.45158156237701685,0.39919739351557526,0.4500774604183696
ecoli-0-6-7_vs_3-5,0.38545863545863546,0.44663779874306186,0.4208768858768859,0.4543670130033767,0.4808923133923134,0.4783383811792902,0.4435335980122076,0.5070310688492506,0.43900261507213384
ecoli-0-6-7_vs_5,0.5327358197358196,0.5696597487479841,0.5028852813852813,0.5216766289266289,0.5707440950862004,0.5065524606971976,0.5285295815295815,0.5390295815295815,0.520181734931735
glass-0-1-4-6_vs_2,0.1153529070951258,0.13296365849876934,0.17479491625848462,0.12485994780314687,0.14277410692137987,0.12212382795620942,0.12043116849026314,0.14886329432196074,0.13077398033199014
glass-0-1-5_vs_2,0.18811312610731215,0.184753079428467,0.1950850653079335,0.18476687933083277,0.21767780901708828,0.14707258638959136,0.1761437380723176,0.20673521586796778,0.2078634416025404
