Dataset,SMOTE,pf-SMOTE,Lee,SMOBD,G-SMOTE,LVQ-SMOTE,A-SMOTE,SMOTE-TL,LNE
abalone19,0.5513429502655722,0.4967995533558667,0.5341139546112988,0.5172093795267987,0.5239211129888941,0.5702800579430227,0.5324480927088363,0.5566030902945437,0.6148147030420088
abalone9-18,0.6756240069334103,0.6675773388222832,0.6541975420097261,0.6719382854253937,0.6307927680677932,0.7067273340074148,0.6656637295969955,0.6558521715056093,0.6458325509172325
ecoli-0-1-3-7_vs_2-6,0.7908759124087592,0.8158759124087591,0.8155109489051094,0.8151459854014599,0.8158759124087591,0.7769160583941607,0.7912408759124088,0.8158759124087591,0.7710158150851583
glass-0-1-6_vs_2,0.6483063392546151,0.5654214559386974,0.6131792058516197,0.643998171368861,0.629020811563915,0.6423371647509579,0.6567789968652037,0.6536703239289446,0.6776449843260188
glass-0-1-6_vs_5,0.8012173458725182,0.8219932079414838,0.790067920585162,0.8120128004179727,0.7358764367816092,0.8785775862068965,0.8137173458725183,0.8012173458725182,0.8177716823406479
glass2,0.5477685013399299,0.5752357761286333,0.5793650793650793,0.5779620181405896,0.5836850649350649,0.5773332817975675,0.601808905380334,0.5418869820655534,0.6001932591218304
glass4,0.7860464403583214,0.8493321546440358,0.813021687883074,0.8115365393682226,0.8034085337105138,0.8203290900518623,0.7782081565299386,0.7782081565299387,0.8212626119754833
glass5,0.8232243479916239,0.8097534742052162,0.8097534742052162,0.8422439558347611,0.8282828859699218,0.9157243479916239,0.8277926898914906,0.8232243479916239,0.817484770607272
page-blocks-1-3_vs_4,0.9651544401544403,0.9640283140283141,0.9794401544401545,0.9856821106821109,0.9830115830115831,0.9298262548262549,0.9870334620334622,0.9606821106821106,0.9754182754182754
yeast-0-5-6-7-9_vs_4,0.7074073561191454,0.6752948830642653,0.7194038644102637,0.6793936272932088,0.6755705360354635,0.6945288762431268,0.6882465022056456,0.696377596806344,0.71322118123078
yeast-1-2-8-9_vs_7,0.5944807869775761,0.5978122175604837,0.5980303203280342,0.6020814186907174,0.5876410175909277,0.652278829047388,0.6079209121785542,0.5913636536613676,0.621398141012834
yeast-1-4-5-8_vs_7,0.5404844453342068,0.54289174826193,0.5526156286778534,0.5692782004149529,0.5522806331064439,0.5304566604787732,0.5283741309649473,0.5461224353607784,0.5491584464747206
yeast-1_vs_7,0.6572774034630153,0.6385101064985872,0.648109468956024,0.6572806636238498,0.6146482648699558,0.6314246902847207,0.6405353908570601,0.6279805114830109,0.5906418894443237
yeast-2_vs_4,0.841499793310138,0.8490576320231492,0.8651254951944607,0.8690856069218139,0.8393325611170439,0.8509547636271775,0.8554113501441087,0.840264428100635,0.8912603115275528
yeast-2_vs_8,0.7761904761904762,0.7515800865800866,0.7564069264069264,0.7618398268398268,0.7248484848484849,0.7622943722943722,0.7676839826839827,0.7905194805194805,0.7770562770562771
yeast4,0.6754946837171307,0.6520278427578983,0.6762445963610733,0.6723682233126496,0.6419332602719037,0.7339924879784279,0.6855528388770716,0.6553215164412192,0.7245219022463243
yeast5,0.8573169191919192,0.8530492424242425,0.8633017676767677,0.8642739898989898,0.8557386363636365,0.8628598484848485,0.8660606060606062,0.8439583333333334,0.9297727272727272
yeast6,0.7369568489236045,0.7357690839338213,0.7644950155460674,0.734303349408602,0.7197686051622656,0.7548954005555991,0.7401755068192261,0.749517934321757,0.8259751991353472
cleveland-0_vs_4,0.7599702380952381,0.7197321428571429,0.764047619047619,0.8299702380952381,0.7219940476190475,0.740922619047619,0.8226190476190476,0.7731845238095237,0.8278571428571428
ecoli-0-1-4-7_vs_2-3-5-6,0.8191206179441475,0.8111679823444529,0.7954732195908667,0.7958993294287412,0.77671802054155,0.8122727272727271,0.790617944147356,0.833425430778372,0.8179861641626347
ecoli-0-1_vs_2-3-5,0.8188636363636365,0.7900757575757577,0.8304545454545454,0.7971212121212121,0.7979545454545456,0.8228787878787879,0.7897727272727273,0.8128787878787879,0.7732575757575757
ecoli-0-2-6-7_vs_3-5,0.788973897389739,0.7898739873987399,0.7936093609360935,0.7930243024302429,0.8252475247524753,0.8161116111611161,0.8172367236723673,0.7914491449144914,0.8041854185418542
ecoli-0-6-7_vs_3-5,0.7745909090909091,0.785090909090909,0.7750454545454546,0.8144090909090907,0.813409090909091,0.8373181818181819,0.8043181818181819,0.8042727272727273,0.8135000000000001
ecoli-0-6-7_vs_5,0.8515,0.8410000000000002,0.7965,0.8140000000000001,0.8375,0.833,0.842,0.8185,0.8550000000000001
glass-0-1-4-6_vs_2,0.5606382978723405,0.5817523640661939,0.5977245862884161,0.600177304964539,0.5660608747044916,0.6157062647754137,0.5816932624113476,0.5823581560283687,0.6146424349881796
glass-0-1-5_vs_2,0.6608648296148296,0.6303127428127429,0.6478674103674102,0.6638597513597514,0.6509254634254634,0.6098575036075037,0.6407009657009657,0.6630931568431568,0.6684579309579309
yeast-0-2-5-6_vs_3-7-8-9,0.7246061089735079,0.7136186698672906,0.7150908212901289,0.7205063155309595,0.7143054618319226,0.7138690391470425,0.7294234860327534,0.7137916889430566,0.7677133565845022
yeast-0-3-5-9_vs_7-8,0.6425438596491228,0.6287719298245614,0.6270087719298246,0.6320526315789473,0.6279736842105262,0.6168333333333333,0.6565175438596491,0.6298859649122807,0.6643947368421053
abalone-17_vs_7-8-9-10,0.6468905021173624,0.6477268602540835,0.6631805807622504,0.6564019963702359,0.6410193587416817,0.7081639443436176,0.655467332123412,0.634835148215366,0.7456896551724138
abalone-19_vs_10-11-12-13,0.5409119496855347,0.4994182389937107,0.5347877358490566,0.535939465408805,0.5497995283018867,0.5573663522012577,0.5563246855345911,0.5644221698113208,0.5558529874213836
abalone-20_vs_8-9-10,0.6503744403744404,0.6178225478225479,0.6946764346764348,0.680984940984941,0.6796255596255596,0.7704924704924704,0.6995278795278795,0.6506919006919006,0.7826902726902727
abalone-21_vs_8,0.7282258035847594,0.7136702725185031,0.7246071837384732,0.7176397608264427,0.7587357181961024,0.8171953985396477,0.6708143738757634,0.7289281626152675,0.772420921287442
flare-F,0.5661803312448112,0.5719717875767211,0.5685056190420597,0.5772287608225107,0.5888073185376268,0.5706453408534958,0.5727999980541719,0.5799356799557462,0.7264913961965547
kddcup-buffer_overflow_vs_back,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
kddcup-rootkit-imap_vs_back,0.9818181818181818,0.9818181818181818,0.9818181818181818,0.9818181818181818,0.9818181818181818,1.0,0.981818181818182,0.981818181818182,0.9818181818181818
kr-vs-k-zero_vs_eight,0.9615816418880279,0.9873448043973511,0.9692736573945521,0.9641150852801468,0.964464929058148,0.9474009978240827,0.9499780496768061,0.9615816418880279,0.9864241441182724
poker-8-9_vs_5,0.5526879299562226,0.5752914321450907,0.5764405878674171,0.5710963101938712,0.5258833646028767,0.5769756097560975,0.5549799874921827,0.5575306441525953,0.5877629768605379
poker-8-9_vs_6,0.6978679311556023,0.8718686336494557,0.6703038285914998,0.6611292588689848,0.7101352300667368,0.6340244116613979,0.601604320337197,0.6978679311556024,0.6805022831050228
poker-8_vs_6,0.6429756468797564,0.7204794520547945,0.6469463470319634,0.6479052511415525,0.7265734398782344,0.7156544901065448,0.7381050228310502,0.6429756468797565,0.747132800608828
poker-9_vs_7,0.6088983050847459,0.6019067796610169,0.5959745762711866,0.5851694915254237,0.6438559322033898,0.5868644067796611,0.5997881355932204,0.6088983050847457,0.5978813559322034
winequality-red-3_vs_5,0.518104191823357,0.4991327410729688,0.5172304640331206,0.5289887010522685,0.5194264274624807,0.5879532516819045,0.5172270139727444,0.5181041918233569,0.5417245989304813
winequality-red-4,0.5525500971167207,0.5361551545574832,0.5467561725323691,0.5625572656943938,0.5615730144514103,0.568931863498487,0.5577001396859095,0.5466906602094184,0.5884858637122543
winequality-red-8_vs_6-7,0.571087048096846,0.5792137237213233,0.5823792186403667,0.5611125068040028,0.5424736626407272,0.5411511484649282,0.5553177167986865,0.5526321181923494,0.5963744656716645
winequality-red-8_vs_6,0.6144374782305816,0.6112330198537095,0.6272727272727272,0.6106931382793452,0.5623301985370951,0.5855451062347614,0.6196795541623128,0.6090386624869384,0.6464298153953327
winequality-white-3-9_vs_5,0.6069488724581318,0.542178055141018,0.5945842566212938,0.6205476793439756,0.5878503783596376,0.6050485950948914,0.586868960943035,0.5896171558208595,0.6091065398935769
winequality-white-3_vs_7,0.5777272727272728,0.5945454545454546,0.6261363636363636,0.6535227272727273,0.6070454545454546,0.7027272727272728,0.6322727272727272,0.5918181818181818,0.5956818181818182
winequality-white-9_vs_4,0.7235395965070761,0.7204908160192712,0.6722899728997289,0.6294188497440529,0.6674119241192411,0.603809093646492,0.7235395965070761,0.7241493526046371,0.6319783197831977
zoo-3,0.5958333333333333,0.5770833333333334,0.5760416666666666,0.5947916666666666,0.621875,0.5875,0.5770833333333333,0.5958333333333333,0.6375
ecoli1,0.8446109908043813,0.842537896619904,0.8257664061764428,0.8383476132190942,0.8313661613784014,0.8401481341995417,0.8423655964598439,0.8380957536955089,0.844993409283495
ecoli2,0.840709642470206,0.850839653304442,0.8470476706392199,0.8426327193932828,0.8400054171180932,0.865655471289274,0.8214788732394366,0.825162513542795,0.8456121343445288
ecoli3,0.7496335973683073,0.7582869324330173,0.7611169977924944,0.7407357053196554,0.7612758949054236,0.8398961606717743,0.7685440418993205,0.7498558195905295,0.8321250919793967
