Dataset,SMOTE,pf-SMOTE,Lee,SMOBD,G-SMOTE,LVQ-SMOTE,A-SMOTE,SMOTE-TL,LNE
abalone19,0.13746823153150936,0.031247785385628658,0.0999797681876684,0.06873296207067497,0.06249207445583851,0.1874190207921964,0.09997701815080402,0.1499583968079144,0.8768680866259346
abalone9-18,0.4228033740734943,0.3945767746960376,0.39400801863848595,0.4178223261142417,0.3376743709042235,0.5158363005822035,0.4036541941363387,0.3988104612301192,0.8507707219905557
ecoli-0-1-3-7_vs_2-6,0.5998137672284178,0.6498190747572054,0.6498031227023654,0.6497924702389832,0.6498190747572054,0.5747924759126679,0.5998297272205875,0.6498137672284179,0.6728098050686884
glass-0-1-6_vs_2,0.38762525509112533,0.199757314216431,0.32770615192230973,0.407362929573973,0.37281394854490724,0.4272919164001869,0.3946113854613583,0.3749983803436254,0.7275676973797575
glass-0-1-6_vs_5,0.6149607195260556,0.659763477961246,0.5949080116594064,0.6397549582091832,0.4899361854006295,0.7793897302171561,0.6399477996706728,0.6149607195260557,0.7014900350334554
glass2,0.20072080547470755,0.23416504595752005,0.21376845530706254,0.25218971019638126,0.23690056216638705,0.2816842984283473,0.3108957623655314,0.18922136831008923,0.6830215744592556
glass4,0.6113427190530738,0.7392682457871332,0.644539690848794,0.6611364706184399,0.6138320276315139,0.700252534569467,0.5947450295113709,0.5780972506634076,0.8608369210117013
glass5,0.6396802894590173,0.6396802894590176,0.6396802894590176,0.7044981233719853,0.6794222073100462,0.8494114527457837,0.6794222073100462,0.6396802894590174,0.7928415895931181
page-blocks-1-3_vs_4,0.9355689588560973,0.9354176962434911,0.9640776620019981,0.978191846120479,0.971192232887935,0.8777826116512006,0.9783613558407893,0.9283494138099535,0.9649383645639675
yeast-0-5-6-7-9_vs_4,0.5691332851868862,0.4305786044879005,0.5366603661810798,0.45306199616015236,0.45264050402018097,0.5765556488138861,0.4755018807772153,0.5028267127846573,0.8207191410756478
yeast-1-2-8-9_vs_7,0.21978652443751848,0.24640210147805242,0.22646162706470965,0.2796597619422514,0.2198470839454066,0.39222585344936095,0.2730304069407613,0.2331547746124772,0.7933228458508579
yeast-1-4-5-8_vs_7,0.18618563929894946,0.1530793890580525,0.2061505939793335,0.2128964750449077,0.17978680396915875,0.25847042871138315,0.15301264987838747,0.19280785577695067,0.8350170761459482
yeast-1_vs_7,0.4254556414721489,0.3523017587728661,0.38517812910063837,0.33895222382178325,0.30609857508006744,0.480983960727215,0.3525751399548714,0.33257265357005705,0.8365076202627677
yeast-2_vs_4,0.7254428374850933,0.7329998114047099,0.7902151392796645,0.7714872722737265,0.7167579814204309,0.7669101331699686,0.7598768580838976,0.7146544018701547,0.8402388132204012
yeast-2_vs_8,0.5990371819304647,0.5297424661777231,0.5590579105305998,0.5590286549057628,0.47980032322921595,0.5790576894213083,0.5795498780850609,0.6091662700171593,0.7709225358334373
yeast4,0.4079320534675084,0.3375599385110052,0.40050434648126376,0.38918689181594546,0.32152879226295317,0.540425840994411,0.4117064997102199,0.3690060793738346,0.8387742386155258
yeast5,0.7271517535917583,0.7180629799307747,0.7407330397776889,0.7407848430010101,0.7271843112536434,0.7628820801245813,0.7498237550656135,0.6999142831215394,0.9344855792899466
yeast6,0.49979308550646523,0.49786318959031683,0.5540310562506183,0.49845926140434804,0.46423626116947664,0.5827897631385699,0.5056842255039766,0.5281644585121542,0.841717205675009
cleveland-0_vs_4,0.5749529303141764,0.48489521936389773,0.5866570761183707,0.7093392381788496,0.46594184470395084,0.5370436621752325,0.6936471011633236,0.5633575366472471,0.7272941994181246
ecoli-0-1-4-7_vs_2-3-5-6,0.6808120152043795,0.6609391364237271,0.6281063798417035,0.6341178019888392,0.6052861167546854,0.7370339160307512,0.6205916336941201,0.7026208093651223,0.7809290529516115
ecoli-0-1_vs_2-3-5,0.7243752713069295,0.608576460257496,0.6741128873701421,0.6330645695602464,0.6256095744159095,0.7130487661590775,0.6243649616715252,0.6824506325230745,0.760632755385134
ecoli-0-2-6-7_vs_3-5,0.6435818640632627,0.6261608924679065,0.6437333321743374,0.6619150074041367,0.6982796977672362,0.7205337642112036,0.6884907815283295,0.6352296882490666,0.713541311890777
ecoli-0-6-7_vs_3-5,0.6423506724936505,0.6174343316133439,0.6254526391280631,0.6799671022028375,0.680094933933252,0.7576504235820151,0.6620178494670019,0.6800219184676835,0.7285308663084622
ecoli-0-6-7_vs_5,0.7384936594378474,0.709839771351516,0.6298621098523667,0.6693425917598639,0.6999823271521175,0.7266192072166052,0.718867476826885,0.6699464579114138,0.7453904609899196
glass-0-1-4-6_vs_2,0.19975512558812777,0.22319780059824904,0.27991278707854234,0.2492648293386251,0.21204536327558351,0.3996922679307273,0.23221411534425934,0.28217035850198585,0.7651598800181751
glass-0-1-5_vs_2,0.4210453068296439,0.37499390784663034,0.46610412606830953,0.4332816782303843,0.3955861993753993,0.46442286897208895,0.3970086889704272,0.4449196060299738,0.8117536739848401
yeast-0-2-5-6_vs_3-7-8-9,0.5109031887985424,0.48904175478437306,0.5093957168485631,0.5043533927713305,0.5061934970237336,0.5454700184449314,0.5395353873792665,0.5175304369660496,0.8517709301559476
yeast-0-3-5-9_vs_7-8,0.393181873371805,0.33956678743865254,0.3655991998093411,0.36538796773018545,0.33097652119984733,0.3957693045326005,0.41254667164009434,0.3770873417147965,0.8507417345366199
abalone-17_vs_7-8-9-10,0.34806632120830017,0.3240340143819971,0.3617698348973139,0.33078756803885695,0.31367297105242753,0.4786612397162119,0.35149041730129965,0.3377022260083569,0.8987091604171003
abalone-19_vs_10-11-12-13,0.14981711958750352,0.02499241185494486,0.15608018879493255,0.1373654117819015,0.14366292702676386,0.24321206192556533,0.14985215272441219,0.17479075555250564,0.873775961856882
abalone-20_vs_8-9-10,0.32301882933003184,0.2538150348836776,0.41528276480489124,0.38454151058546937,0.3768686748387634,0.5919134743557837,0.422971491995619,0.2999442586445202,0.8766367969427632
abalone-21_vs_8,0.4854984729871263,0.44278153225579553,0.44275301986857307,0.45697541115803436,0.5426278894682399,0.6566313531331012,0.3571169009579739,0.4855070114053463,0.7799352588390543
flare-F,0.15864508112485068,0.16825061607038028,0.1720874849851292,0.18594078349794807,0.1995420856889359,0.19925346006259534,0.17727238999411485,0.18177666443371512,0.9073644740498084
kddcup-buffer_overflow_vs_back,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
kddcup-rootkit-imap_vs_back,0.963639327811833,0.963639327811833,0.963639327811833,0.963639327811833,0.963639327811833,1.0,0.963639327811833,0.963639327811833,0.963639327811833
kr-vs-k-zero_vs_eight,0.9263420845041896,0.9768825585455246,0.941720845412101,0.9323692728942362,0.9323788705274778,0.9020962039638427,0.9027262216984653,0.9263420845041898,0.9169650989283893
poker-8-9_vs_5,0.12818448200814153,0.15254773559034468,0.17753023097386042,0.16791551229903282,0.07370938473286211,0.2075863484006167,0.1531779173714573,0.16022986496288724,0.8692113594897266
poker-8-9_vs_6,0.3788118320052195,0.7474405883242309,0.4051049493142151,0.33329264195926667,0.43972464721187443,0.30436233052443523,0.22112852590653498,0.3788118320052195,0.8299823143652147
poker-8_vs_6,0.29445589049074516,0.4499981244110639,0.28194988677139,0.27083689991982235,0.45971922102828494,0.45548091496759485,0.4944463226121901,0.2944558904907451,0.7965946324657093
poker-9_vs_7,0.24985683196850936,0.22491404019246963,0.24990698755368662,0.1999572050289494,0.24987824827108024,0.1999643149574294,0.22500720037541627,0.24985683196850936,0.3207546010757313
winequality-red-3_vs_5,0.07997498427656326,0.019993083473825272,0.0799707472362013,0.07997761721444044,0.07998706251705667,0.17997323146768698,0.07998017662626836,0.07997498427656324,0.6534334965550439
