Dataset,SMOTE,pf-SMOTE,Lee,SMOBD,G-SMOTE,LVQ-SMOTE,A-SMOTE,SMOTE-TL,LNE
abalone19,0.27286283316137633,0.09493158443092094,0.29836993449516364,0.23482173689074748,0.18681193408870506,0.37099769068568555,0.2603629905699643,0.319447540434605,0.5926086452811443
abalone9-18,0.6155717753075148,0.6009526545581643,0.5892020991213657,0.6289405070308918,0.5594204237266862,0.68289070976828,0.6078458358536128,0.571592093162334,0.6587825913870704
ecoli-0-1-3-7_vs_2-6,0.7238594889983533,0.794072588092172,0.7937916772159768,0.793493139989361,0.7940725880921718,0.7069777884129042,0.7241784811224756,0.7940521331946655,0.7971210115264221
glass-0-1-6_vs_2,0.5900041029219745,0.3814789682988036,0.534543002579998,0.5985673449129123,0.5706157595228994,0.5634002602534396,0.6051795404257084,0.5790287653921897,0.6631466020927388
glass-0-1-6_vs_5,0.760275184968982,0.786594455185031,0.7473966152178679,0.771866952467764,0.6415231139303434,0.8568721013010094,0.6872398524174452,0.7602751849689818,0.7779315873338298
glass2,0.3826910145334269,0.4069920927649526,0.38842261298668246,0.4310494265718391,0.4091150599185891,0.41933380900466527,0.4352231750251378,0.33273305238438844,0.5220528139968333
glass4,0.7870530740775251,0.818988189577839,0.7782613230742585,0.78893978339126,0.7947909751598082,0.7880530085820794,0.7689244068693214,0.7633584910544489,0.878059251392249
glass5,0.768205685342336,0.768205685342336,0.768205685342336,0.8036542386765164,0.7889078824964939,0.9025785129230851,0.7889078824964939,0.768205685342336,0.8418011262667093
page-blocks-1-3_vs_4,0.9616624499872215,0.9601879925000363,0.9787088116838115,0.9850512798931395,0.9864108343048612,0.9226925550523182,0.9864108343048612,0.9571589983552478,0.9661814060823876
yeast-0-5-6-7-9_vs_4,0.6750748280327559,0.6158986776832104,0.7014414992477251,0.6343637886029908,0.635072486843684,0.6817896347878205,0.6525458156799855,0.6553777684638632,0.7230135022195168
yeast-1-2-8-9_vs_7,0.42629455660865984,0.4243713646751557,0.46511899282287283,0.5046750353083909,0.4516643264973935,0.578407882758397,0.500024998765652,0.45860510966197515,0.5335545242112963
yeast-1-4-5-8_vs_7,0.4085131123350605,0.3454472646570379,0.3418052532304655,0.40267283270713944,0.36768647439982793,0.45226937532376976,0.40896242902814645,0.3870819442401946,0.5098631211832028
yeast-1_vs_7,0.6193275360041387,0.5732883166006731,0.5889236161996131,0.5236524007293901,0.5137768283519673,0.5946798163238538,0.5652988890457807,0.5483238838206654,0.5918285120836362
yeast-2_vs_4,0.8329671730513875,0.8396456769356551,0.8700991829696789,0.862907001511406,0.839248621903043,0.8391104097159763,0.8485429561880091,0.8280189802652889,0.8885025729207723
yeast-2_vs_8,0.7470068927874215,0.7103829444938851,0.714703582742096,0.7256644897816188,0.6775963697632295,0.7404110545989562,0.7404318202683612,0.7575909657389821,0.7537117504637554
yeast4,0.618999644693685,0.5550998744818963,0.60889681807282,0.5945103928731592,0.549577225491898,0.7162306551775313,0.6245035479130172,0.5841460889586401,0.7366130356679237
yeast5,0.8431379108485931,0.835493612458148,0.8386334445630297,0.8548383888955542,0.8333539900195144,0.8579034288691352,0.8547120977343745,0.8360086981215338,0.9019679167119886
yeast6,0.6895914266682721,0.6896650490934568,0.7316238021856855,0.6913033913939117,0.6672119586164199,0.7309635540489556,0.7136957220547018,0.7080427345233955,0.7753435742018915
cleveland-0_vs_4,0.6938466233612048,0.6139425758368986,0.7361177441099102,0.7824277037488105,0.6061633756215189,0.7029587757745592,0.7871417181533988,0.6878798566658737,0.8077201475504886
ecoli-0-1-4-7_vs_2-3-5-6,0.8044978599386481,0.7957030020887037,0.7777524875169752,0.7760143077234922,0.7534032124930354,0.8021259027100782,0.7690896030787977,0.8224325225717324,0.78592844752079
ecoli-0-1_vs_2-3-5,0.7936900215137486,0.7541713131964866,0.7999281364585639,0.7958546231614684,0.770641861658577,0.8115396403272161,0.7376250043330908,0.7950816094675391,0.7547509633255375
ecoli-0-2-6-7_vs_3-5,0.7731167547809812,0.7656411450547018,0.7722322276515158,0.7758874456500342,0.8032825484331969,0.8023810428614369,0.7991689562016256,0.7644300567017617,0.8159294254899558
