Dataset,SMOTE,pf-SMOTE,Lee,SMOBD,G-SMOTE,LVQ-SMOTE,A-SMOTE,SMOTE-TL,LNE
abalone19,0.01101768534544251,0.009266020885922769,0.01092428829103199,0.01344662960302293,0.011284100270144,0.00854061664358641,0.01122251792104182,0.01252275063312366,0.01164294892814184
abalone9-18,0.1500824709679358,0.16549283421948371,0.15389922636108375,0.14306662044519544,0.15951328443089874,0.15364414351020045,0.15398177106347966,0.14929218087835702,0.139160115311459
ecoli-0-1-3-7_vs_2-6,0.38350156197230656,0.3955253714961161,0.3835015619723066,0.3860015619723066,0.3955253714961161,0.38635870482944945,0.3955253714961161,0.3930253714961161,0.32751941911516375
glass-0-1-6_vs_2,0.19828640109890103,0.18857321883363548,0.18911158444859422,0.18822615250246824,0.1933527737694404,0.15682405192273607,0.1824642933772835,0.17404651675485003,0.18197088598130262
glass-0-1-6_vs_5,0.5812137681159422,0.5912137681159421,0.5789673913043478,0.5909637681159421,0.6072137681159421,0.4569865424430642,0.6198768115942029,0.581213768115942,0.5574492753623188
glass2,0.15735340150724056,0.1608510297350319,0.15512637754898262,0.15914381720084253,0.15023123681369394,0.13153879867221702,0.17033748864123116,0.1470658175832224,0.13108809946183383
glass4,0.48285621569500065,0.5356126069327003,0.45562280571626357,0.4665665331553182,0.48537605696484193,0.4470143356124664,0.4716458982346833,0.48285621569500076,0.47980716793467126
glass5,0.6154469292389853,0.6582623497997331,0.5826732309746329,0.5963815086782377,0.5380898976412996,0.4729650645304851,0.658262349799733,0.6154469292389854,0.52751246105919
page-blocks-1-3_vs_4,0.8935812291018103,0.8919188141358237,0.8575001653203655,0.8826515479072985,0.8539276049402812,0.7973104205686583,0.8691167927405642,0.8869145624351434,0.8421094173104636
yeast-0-5-6-7-9_vs_4,0.20109427094966578,0.21061544341017582,0.20942849548112705,0.1995659464657016,0.20085844841385722,0.20157580643738632,0.1989665548167866,0.20901909206337752,0.24156233059652094
yeast-1-2-8-9_vs_7,0.06913434389413592,0.07054729495388617,0.0721625108054471,0.07011910920389201,0.06901458938720463,0.07657947487710123,0.07229251243243066,0.06993438659432054,0.07867048806042741
yeast-1-4-5-8_vs_7,0.06461583565376455,0.06259683153417972,0.07138001285861065,0.06396203658002617,0.05434280488945124,0.05763187901723208,0.06343647271018016,0.06305746944318526,0.06407033584163722
yeast-1_vs_7,0.16902115056108286,0.17305820308587566,0.14557946573930755,0.1608580762404293,0.1477657419826343,0.16196530298548065,0.15340919038869325,0.17016726893208559,0.17013869170549076
yeast-2_vs_4,0.5433153639459477,0.5434375468587687,0.5391748551637484,0.5325203171297586,0.5405127278608686,0.5115804376050217,0.5527978275937763,0.5416430412945014,0.526031813981493
yeast-2_vs_8,0.30196071880462005,0.3992812685240071,0.3068831859682909,0.2771930334982529,0.3258989206087644,0.3174741463785077,0.32305669354199024,0.3130204215971581,0.356627095211939
yeast4,0.12647842989635605,0.12228665477170356,0.12680596394690472,0.12358195258674831,0.113411251041365,0.11293336337597748,0.1218340813056242,0.1274751301415407,0.13459842470308486
yeast5,0.4589288007087548,0.48730013680825623,0.459991284864077,0.4746661422221125,0.46783120981656917,0.39919485291608925,0.4488331725375644,0.46941868446601165,0.43875350601276475
yeast6,0.17855924432427367,0.21258884681636436,0.1928313655307054,0.17768753953650057,0.18041733848636077,0.15125435751146185,0.1950361708422891,0.19269962284267844,0.2105195776034531
cleveland-0_vs_4,0.5222464072504168,0.5014130739170836,0.4434581408077799,0.4796790392179326,0.4197302050999497,0.38470408345107615,0.49057407164950984,0.5083298328687261,0.4791451367111523
ecoli-0-1-4-7_vs_2-3-5-6,0.5310764171390553,0.5362524580539286,0.516269123033829,0.5133398747795032,0.5129831072779989,0.4935651757942779,0.4904680526056576,0.5411992797118848,0.5174703171622459
ecoli-0-1_vs_2-3-5,0.6085432880719768,0.5947343655130541,0.611758608725822,0.5895078039750172,0.5864990174741863,0.5915421236322875,0.5976195757258921,0.6231332351619238,0.5731071262749181
ecoli-0-2-6-7_vs_3-5,0.5656730116288939,0.5736717827626918,0.566518241859151,0.5638566988566989,0.5531331168831168,0.5006999618029029,0.5767243867243866,0.5519029581529582,0.5105086580086581
ecoli-0-6-7_vs_3-5,0.560193589798853,0.5578564944474035,0.5571603509103509,0.5636811911811911,0.5554452529452528,0.4818469928362977,0.5619758258394623,0.5894977988159805,0.5154804803369397
ecoli-0-6-7_vs_5,0.6239242424242424,0.5953096462361168,0.5979141414141413,0.6003383838383838,0.5875883838383839,0.45721363358863354,0.6007727272727273,0.6376752136752137,0.5286682586736935
