Dataset,SMOTE,pf-SMOTE,Lee,SMOBD,G-SMOTE,LVQ-SMOTE,A-SMOTE,SMOTE-TL,LNE
abalone19,0.5480730927088364,0.5096134113954611,0.5560478029937228,0.5548542370835345,0.5301228271366488,0.5195376629647513,0.5481213785610816,0.5479765210043456,0.61872736600676
abalone9-18,0.6800589219509847,0.6655973446001251,0.6924542587510232,0.6896406302662623,0.6565095815879436,0.7109884924647311,0.6909445567913718,0.6803491983244259,0.7269598921469498
ecoli-0-1-3-7_vs_2-6,0.8397810218978103,0.8405109489051096,0.8397810218978103,0.8401459854014599,0.8405109489051096,0.8397810218978101,0.8405109489051096,0.8401459854014599,0.8313868613138686
glass-0-1-6_vs_2,0.678792232671543,0.6638627655869035,0.6951367119470568,0.666405433646813,0.6588753918495298,0.6532479972135145,0.6665447579240682,0.6689502786485544,0.6897879658655521
glass-0-1-6_vs_5,0.8512173458725183,0.8517920585161963,0.8398667711598747,0.8492920585161965,0.8523667711598748,0.8139380877742948,0.8642920585161964,0.8512173458725185,0.8487513061650993
glass2,0.6209222325293753,0.6216424448567305,0.6116264687693259,0.626641414141414,0.6152133580705009,0.6012793753865182,0.6307024324881467,0.615861420325706,0.6030161306947021
glass4,0.8387449316360207,0.8708877887788781,0.8289214992927864,0.8450931164545026,0.8387449316360207,0.8217637906647808,0.8377498821310703,0.8470782649693541,0.8790570485619991
glass5,0.8936607652769846,0.9066462021701884,0.871156006091757,0.8836607652769846,0.8696996954121454,0.8352531886541025,0.9066462021701887,0.8936607652769848,0.902570435941367
page-blocks-1-3_vs_4,0.9823359073359074,0.9792149292149294,0.9749678249678251,0.9821106821106822,0.9647039897039897,0.9802767052767052,0.9711711711711712,0.982110682110682,0.9764800514800515
yeast-0-5-6-7-9_vs_4,0.6960777371779096,0.6799475513411029,0.7016707543010767,0.6950594537138962,0.671157946409977,0.6950672863931538,0.6913933919882725,0.6963394557694336,0.7110017850719303
yeast-1-2-8-9_vs_7,0.6331540942432285,0.6270622009114175,0.6317251286734976,0.6248501108352122,0.6129497864162647,0.6701893712361218,0.627521144314106,0.6351155920883638,0.6370213393460247
yeast-1-4-5-8_vs_7,0.5937228673000158,0.5688040379038813,0.5990624431259782,0.5895032698770913,0.5506052912556572,0.5586197964061685,0.5912972433540811,0.5908422511799464,0.5985647120202866
yeast-1_vs_7,0.6836343548503949,0.6963953488372094,0.6748177932333551,0.6830359342171992,0.649280953415924,0.6832710280373832,0.6830522350213721,0.6866717380279649,0.6936847062232848
yeast-2_vs_4,0.8501061180199111,0.8407951559934318,0.855732089749331,0.8544417852262679,0.8433550616050617,0.8538687720325651,0.8480319938682008,0.8507554686692618,0.8614908195253023
yeast-2_vs_8,0.8040043290043289,0.8056926406926406,0.8044372294372293,0.7879220779220779,0.7994155844155844,0.7916017316017315,0.8107359307359306,0.8155194805194805,0.8053463203463205
yeast4,0.6919418772052535,0.672139568607919,0.6962523999690733,0.7005941791197746,0.6520613452293403,0.6888521384103535,0.6854694436602877,0.6924853811211423,0.7771734040213155
yeast5,0.8904166666666666,0.8768686868686869,0.8861489898989898,0.890486111111111,0.8610290404040404,0.9019128787878788,0.8902083333333334,0.8904166666666666,0.9226262626262626
yeast6,0.7559956835849219,0.7686489483835701,0.7565049576825713,0.7653636740020197,0.7477744487901212,0.7787504460855911,0.7692459478742917,0.7585918419568247,0.819233327979061
cleveland-0_vs_4,0.8209523809523809,0.8190773809523811,0.786875,0.8160119047619048,0.7602380952380953,0.7311011904761905,0.8178273809523808,0.8126190476190477,0.8720535714285713
ecoli-0-1-4-7_vs_2-3-5-6,0.8540620490620491,0.8460355657414482,0.8612978524743232,0.8540684152448857,0.8586244800950682,0.8522065189712249,0.8555967235379001,0.8534105763517529,0.8513907987437399
ecoli-0-1_vs_2-3-5,0.8543939393939395,0.8502272727272727,0.8585606060606061,0.8516666666666666,0.8418939393939395,0.8517424242424244,0.8646212121212121,0.8548484848484849,0.8680303030303029
ecoli-0-2-6-7_vs_3-5,0.8468046804680469,0.825967596759676,0.8422592259225923,0.8382088208820881,0.8356435643564357,0.8188118811881188,0.8447344734473446,0.8448244824482447,0.8426642664266426
ecoli-0-6-7_vs_3-5,0.8329999999999999,0.8269090909090909,0.8274545454545453,0.8431363636363637,0.8208636363636364,0.8134090909090907,0.8385909090909092,0.8324999999999999,0.8349545454545455
ecoli-0-6-7_vs_5,0.8664999999999999,0.8385,0.851,0.85,0.834,0.826,0.8535,0.8610000000000001,0.8594999999999999
glass-0-1-4-6_vs_2,0.6292405437352245,0.6337913711583925,0.6086583924349882,0.645168439716312,0.6139775413711585,0.5988918439716312,0.6293735224586289,0.6179669030732861,0.6354609929078014
glass-0-1-5_vs_2,0.6407529970029969,0.651812076812077,0.6616577866577867,0.6523566711066711,0.6631784881784882,0.6448593073593073,0.66002886002886,0.6541978854478854,0.6911262348762349
yeast-0-2-5-6_vs_3-7-8-9,0.7557193888514793,0.7553069995506847,0.7577936434844699,0.7536879882117531,0.7568384689631582,0.7661290009293291,0.7514320963807195,0.7592376120347922,0.7848969000833645
yeast-0-3-5-9_vs_7-8,0.6445087719298245,0.6467456140350878,0.637578947368421,0.6339035087719298,0.6384649122807018,0.6713245614035089,0.6447543859649124,0.6467543859649123,0.6825000000000001
