Dataset,SMOTE,pf-SMOTE,Lee,SMOBD,G-SMOTE,LVQ-SMOTE,A-SMOTE,SMOTE-TL,LNE
abalone19,0.13122009530530016,0.03124897423592149,0.149962544126727,0.14371778755731587,0.08124093203501422,0.0749821692460537,0.13121913996180717,0.1312198622367709,0.8887053052124365
abalone9-18,0.46026856766127955,0.3760175136326384,0.46974504179143384,0.465070075405122,0.36646786106690454,0.5123048696747827,0.4651049904448776,0.4649920717690138,0.8913525161177478
ecoli-0-1-3-7_vs_2-6,0.6997127710082635,0.6997499747889507,0.6997127710082635,0.6997287038561513,0.6997499747889507,0.6997233962823738,0.6997499747889507,0.699734041941063,0.7232646135994119
glass-0-1-6_vs_2,0.46659608906922073,0.4219091351263911,0.49011404001605763,0.45428059839132134,0.3988707006621972,0.46007007853188764,0.45703805825773536,0.44426256313365203,0.846539654738382
glass-0-1-6_vs_5,0.7148852110023168,0.7148984401963082,0.6900556951157575,0.7099768649144289,0.7149511480629575,0.6448200535416525,0.7398863990338294,0.7148852110023167,0.8404745064031809
glass2,0.35042460182341334,0.32912494936817194,0.3255264114011819,0.36301377872470175,0.3151535869757831,0.3133254452657485,0.35069219816925534,0.33775241699817543,0.7924222219232419
glass4,0.7019257286565451,0.7659955606795126,0.6851801163691416,0.7183573567104954,0.7019159888134494,0.6709420289735285,0.7018078545720946,0.7185338187343218,0.9217288551572921
glass5,0.7997542879440199,0.8247542879440198,0.7548387132508969,0.779773502059091,0.7547352511142775,0.6896498727653009,0.82475428794402,0.7997542879440199,0.8572672880908749
page-blocks-1-3_vs_4,0.9711276345085912,0.964067536870794,0.9568722086697903,0.9711013195898708,0.935558890745037,0.9775423343932245,0.9497233381647912,0.9710993482516711,0.9683653080757402
yeast-0-5-6-7-9_vs_4,0.5209609298889377,0.4488118675132255,0.5248724796093681,0.5130172725015462,0.42227465968439715,0.5354442065901602,0.4947018998865528,0.5329620194436041,0.8193488626677705
yeast-1-2-8-9_vs_7,0.359075037657124,0.3195339581724007,0.3590640637441601,0.3391146514661762,0.27966748706032585,0.46498272980656774,0.34581783890306006,0.3656917200073312,0.8508785181473613
yeast-1-4-5-8_vs_7,0.3054089258114794,0.2129399155870455,0.325199322427103,0.31197489265512185,0.16642099179230146,0.2915689971541508,0.3120079482593437,0.2988502366422544,0.8605795516609076
yeast-1_vs_7,0.4963136870968941,0.4782530311043193,0.4898150720010116,0.49642032178988726,0.3659168782196257,0.5407928687073358,0.4833395158905155,0.49622221020030366,0.8678348500022386
yeast-2_vs_4,0.7440140552398324,0.713610463291452,0.7517645691706833,0.7518077560158746,0.7216050257062594,0.7694615125390978,0.7437488626706269,0.7440491656366086,0.8770329460653719
yeast-2_vs_8,0.649106739113587,0.6298749395725207,0.6491769442402979,0.6191455220752053,0.6295182407332945,0.6194156832660825,0.6592215322120512,0.669140098779043,0.9082724456487574
yeast4,0.4425313451476084,0.3843436392164298,0.4464941006088444,0.45434237461390603,0.3367896635149044,0.4530874325098554,0.41880066992316367,0.43456333200878394,0.912769281254905
yeast5,0.7996627360839209,0.767995723354978,0.7905968584725215,0.7996656251978728,0.7362066314998706,0.8400679949240895,0.7996511834863741,0.7996635029214494,0.9169652149500924
yeast6,0.545735490719716,0.5622063735359579,0.5460668987051889,0.5685364159727906,0.5226603385100527,0.6461879940446685,0.5741151828246583,0.551601881642829,0.9244145656105844
