Dataset,SMOTE,pf-SMOTE,Lee,SMOBD,G-SMOTE,LVQ-SMOTE,A-SMOTE,SMOTE-TL,LNE
abalone19,0.3095546287298381,0.10972504408510389,0.3293099706007757,0.32321763597050057,0.22981367558380333,0.2200604722310862,0.30829560498046515,0.30950147322636734,0.6180678503644429
abalone9-18,0.6433951770292987,0.5982214050892962,0.6495747170270388,0.6484856384796984,0.586892836451194,0.6809994567865982,0.6488797450286763,0.6462943098202616,0.7295802780725109
ecoli-0-1-3-7_vs_2-6,0.8220879313927366,0.8227801157988621,0.8220879313927366,0.8224117754213994,0.8227801157988621,0.8221555231113834,0.8227801157988621,0.8224562717701994,0.8102393583944296
glass-0-1-6_vs_2,0.6425963101843538,0.6136760167697756,0.6586972352286871,0.6318902997612154,0.5962599097174995,0.6271611896774973,0.6347164469047843,0.6181921900896238,0.6959914394005844
glass-0-1-6_vs_5,0.8189488414484156,0.8192066035927483,0.812950339462023,0.8220804812134285,0.8197221278814142,0.7759164125176049,0.8327854859359665,0.8189488414484156,0.8724819628878349
glass2,0.4818296393768301,0.47521321085472473,0.4646684190256239,0.49428526143068563,0.4631167102646444,0.4887361168477534,0.48704563359203,0.4661965329077626,0.5307654043837501
glass4,0.8198517176150306,0.8587239826291784,0.809062337007725,0.8268119679207213,0.8189712283901448,0.8010958396993926,0.8188699214477527,0.8285213841969347,0.8767945308652016
glass5,0.8765353932315547,0.8903542789081751,0.851457413242794,0.8645523410557114,0.8500582831746094,0.804290634828552,0.8903542789081751,0.8765353932315547,0.8511973047092315
page-blocks-1-3_vs_4,0.9820097377508394,0.9788257868829637,0.9745337425562035,0.9817935225319155,0.9635945931294552,0.9799858480043122,0.9705276173759044,0.9820097377508394,0.9822165501873366
yeast-0-5-6-7-9_vs_4,0.6724373617750679,0.6376630911507866,0.6745369453892057,0.6696071250069084,0.6198644379430285,0.6742349248354562,0.6630475278022213,0.6712519390426788,0.7227113631781156
yeast-1-2-8-9_vs_7,0.5667601332371115,0.5418726921990917,0.5666514812177047,0.5490287759760721,0.5021997828353206,0.6343991957209554,0.5569065240427118,0.5709780730691192,0.6592276841457559
yeast-1-4-5-8_vs_7,0.5119731960183398,0.43265245376171135,0.5273260905339155,0.5201773784089895,0.38720965656920747,0.49091038803540865,0.5201662952427017,0.5088783544842912,0.5814284567865375
yeast-1_vs_7,0.6525018635695015,0.6594830016262245,0.6492015654601749,0.6528962183337544,0.5779629405267921,0.6628785320310466,0.6460640838013482,0.6490981980494714,0.6887266540301552
yeast-2_vs_4,0.8427916827363404,0.8283072291220812,0.8479417496349271,0.8467658420979463,0.8323328103812251,0.8499130589828644,0.8399530370572243,0.8429802166172203,0.860782787828571
yeast-2_vs_8,0.785343919590274,0.7830928015555653,0.7863711082119144,0.7662536056713928,0.7783168823999722,0.7694624135389325,0.7927998087827177,0.7979438728431314,0.7880633851841667
yeast4,0.6455933078960864,0.6034645382281487,0.64698700742449,0.6535703102336418,0.5662994756619251,0.6435667766692067,0.6296372551054006,0.6423194138333173,0.7746108468452686
yeast5,0.8842356858633034,0.8687492352880083,0.8796408926313941,0.8842939595647413,0.849887230718062,0.8989788343306288,0.884035356989652,0.884243302575972,0.9284446950476297
yeast6,0.7186216717668923,0.7356950940037328,0.7182616734348216,0.7333441564176997,0.7074484539811043,0.7673028431094562,0.7372117290738914,0.7218607487237723,0.8206535054732589
cleveland-0_vs_4,0.7981135857279513,0.7998343956139656,0.7576354707100796,0.797419207063643,0.7144515499927537,0.6663905577122644,0.7987610621609486,0.7981135857279513,0.8421549912209206
ecoli-0-1-4-7_vs_2-3-5-6,0.8476429819544375,0.8354253438187662,0.8558375932012364,0.8475366700340874,0.8518343673464102,0.8456979113348279,0.8494331011034897,0.8458943112600148,0.8494566818123195
ecoli-0-1_vs_2-3-5,0.8432771449868802,0.8384031744330981,0.8489208817996943,0.8408726926441545,0.8287953971800212,0.8412984351594947,0.85522256627295,0.84366700490362,0.8573053339501419
ecoli-0-2-6-7_vs_3-5,0.836120625893096,0.8064151778339028,0.8289725010398694,0.8236434405332419,0.8192246165029392,0.8039089929691648,0.8329697681366165,0.834305178150171,0.8330235419513553
ecoli-0-6-7_vs_3-5,0.838989766986705,0.8081850761767495,0.8116622726751146,0.8321570692849944,0.8008682896959887,0.7970832056705166,0.8260499040823135,0.8329362198864028,0.844410859632917
ecoli-0-6-7_vs_5,0.8511749387295264,0.8221318494220149,0.8377003397118246,0.8388371270802143,0.8185460662692202,0.8153826995122866,0.8426238461579573,0.8512121320680215,0.8328508119442033
glass-0-1-4-6_vs_2,0.5589280552646638,0.556729042266089,0.5443445558094647,0.5957197342345002,0.5251042956671427,0.5277213616956878,0.5554012151882085,0.5403195013101809,0.6320465133406095
glass-0-1-5_vs_2,0.6029218083252957,0.6050228370193247,0.6231566469787586,0.6141793321509412,0.6167678315158672,0.5974580541979037,0.6273972877126865,0.6081114070516691,0.6491339729100579
yeast-0-2-5-6_vs_3-7-8-9,0.7423283800918627,0.7304060693297751,0.7456862529550377,0.7427465783824827,0.7390516212062125,0.7568376195162427,0.7343556910266347,0.7470469244917469,0.7871343313042727
yeast-0-3-5-9_vs_7-8,0.6073264731061009,0.5789154789042155,0.6079649047754215,0.5913872028079148,0.5766037659577393,0.6501782615164966,0.6065015246525334,0.6211334308187592,0.6675952713826495
abalone-17_vs_7-8-9-10,0.6376872695260258,0.5734431534090048,0.6322495300229736,0.6299454495668447,0.5691084276512907,0.6688937302425695,0.6323730245309843,0.632192453168108,0.8022321195648912
abalone-19_vs_10-11-12-13,0.4346802133166232,0.3033482299986639,0.4322768171378691,0.43170771449172973,0.31012856731384814,0.36770444837764704,0.4095371858748673,0.440265876976924,0.5840102119899302
abalone-20_vs_8-9-10,0.6326472760971518,0.4845680179791447,0.6219403535988155,0.6321636669034034,0.4986133970448313,0.6182867035656086,0.6112595859829862,0.6326472760971517,0.8108800818545105
abalone-21_vs_8,0.7202384188762507,0.6957157696841892,0.7151766444139119,0.7019598807710228,0.7041797738451373,0.70518474687171,0.7084398389523785,0.7271375395287684,0.7496038772865943
flare-F,0.4605280475265655,0.4389044070908441,0.4798757892179878,0.4641657879490169,0.43664837828500247,0.5060529345341309,0.46437559802370165,0.49128284635977265,0.7515545400821635
kddcup-buffer_overflow_vs_back,0.9509570352894692,0.9543478569815396,0.9543478569815396,0.9543478569815396,0.9402441336723714,0.9509570352894692,0.9440519689145954,0.9509570352894692,0.9685343983741749
kddcup-rootkit-imap_vs_back,0.9671846979961252,0.9571187256138101,0.9571187256138101,0.9571187256138103,0.9524649845383696,0.9382646468362579,0.9469571015178719,0.9671846979961252,0.9720775535473555
kr-vs-k-zero_vs_eight,0.9220980181127487,0.9147472179936431,0.9100079795441058,0.9174259695668505,0.918519634778254,0.9434047949303285,0.9100079795441058,0.9220980181127487,0.944556840514464
poker-8-9_vs_5,0.3191602118337892,0.24473881321463012,0.3332086096697002,0.36229155383991524,0.20869555199857678,0.33148399860730887,0.21118642117751688,0.31899355128531964,0.6307570064825321
poker-8-9_vs_6,0.9086733527927358,0.8824639847105548,0.9302344690287795,0.9426962023184966,0.8852737047446938,0.9764846224811032,0.9172995742834136,0.9086733527927358,0.9539820522552397
poker-8_vs_6,0.929051411205727,0.836628666179949,0.9221013595121053,0.9154370889530261,0.8343168804373038,0.9697037996306126,0.9227331039786865,0.929051411205727,0.9399168162646276
poker-9_vs_7,0.7650485870443889,0.7492265591489329,0.7363227864971267,0.7511284723846318,0.7236092629387072,0.7088254091964332,0.7366905271832995,0.7650485870443889,0.7440059719668245
winequality-red-3_vs_5,0.22182547796918298,0.1776986165270024,0.22182537907982738,0.2217590712368324,0.17802867012231366,0.17802867012231363,0.22202360960372713,0.221825477969183,0.5565059394174585
winequality-red-4,0.4428852553306097,0.341842301597359,0.43491899946973983,0.4214718284544928,0.35453005776100455,0.3829863184418333,0.4216920672855422,0.442914676858722,0.6259116258345052
winequality-red-8_vs_6-7,0.23445623184965872,0.24637756956030105,0.22111996525139369,0.23427484690243108,0.26961313833756095,0.25422347622104263,0.2673637714252444,0.2446684942658856,0.537137476851647
winequality-red-8_vs_6,0.42985362217575585,0.4331605027781631,0.443623355179382,0.43400305510000703,0.38330873808420574,0.3455579760112586,0.4050465620191302,0.42985362217575573,0.7016067087181195
winequality-white-3-9_vs_5,0.4033620152972851,0.39993788490660237,0.4233284161305916,0.43466024261890135,0.30023025674436155,0.36527688712056144,0.42603757174367357,0.40320485441330406,0.5725550419141625
winequality-white-3_vs_7,0.324385887629934,0.3642303052548109,0.3961375169460425,0.38046253644375483,0.26644040320808954,0.4088734626009131,0.3466995994804224,0.3243858876299339,0.6661826350894808
winequality-white-9_vs_4,0.787465938874029,0.8171953918010679,0.7886038362063272,0.8176034898591901,0.8170947445142664,0.7601826514632497,0.8165761194915181,0.787465938874029,0.8004688106231885
zoo-3,0.6575820385371693,0.6565121211550987,0.6565121211550988,0.6328479118681686,0.6565121211550987,0.6339178292502392,0.6565121211550987,0.6575820385371693,0.7458449104958426
ecoli1,0.8410133268714576,0.8395377160030753,0.8354183128852547,0.8323891890571691,0.8245051791649759,0.846575076493493,0.8401412714374654,0.8367120902996639,0.8658484081573425
ecoli2,0.8931202935356118,0.8891844605716649,0.8955244966120464,0.8919764494820275,0.8836508179842737,0.8836958582647888,0.8944990883198052,0.9012255840685752,0.9119401309986378
ecoli3,0.8101072655906701,0.7758624559492243,0.8016966407656676,0.810414827590591,0.761154651674347,0.8516198406419002,0.8046805789910225,0.8144979062606479,0.8790526895271057
glass0,0.7983891545506985,0.8169165395466624,0.7912042145018384,0.7938747156203839,0.797620140934628,0.7925207474559315,0.7936069620144627,0.799116699206728,0.7917372455749434
glass1,0.7670717489857781,0.781714621104065,0.7547306872896432,0.7671205112852324,0.7629768113071509,0.761867026575122,0.766690075854272,0.7690541078041944,0.7622689208663764
haberman,0.5475228113167614,0.579734896949084,0.5484694356883306,0.563539027311425,0.539914300077069,0.5921284293544288,0.5508607979174641,0.5421569158514875,0.5953335108255734
page-blocks0,0.9175279002392539,0.8941847537852434,0.9181512581989546,0.9157395831356592,0.8983900139683056,0.8851471673012252,0.91901900623235,0.9202599579204197,0.9319010905531618
pima,0.6669503936636576,0.6831797863053535,0.6665576740141593,0.6690358909424976,0.6702674693910536,0.6827225603708179,0.6689806404925307,0.6628243868500863,0.6921541265455028
vehicle1,0.718931867467783,0.724886181107353,0.7180730119900606,0.7127098729890528,0.6939184321785415,0.7007276934643644,0.7151799703532838,0.7192480628426898,0.7373265853815438
vehicle3,0.6826595419241592,0.6831036258139298,0.6880970711230643,0.6895527780612088,0.6685622927966561,0.6803817376061044,0.6888213995208228,0.6834700821051047,0.7356126061894287
yeast1,0.6551145227990159,0.6761949058959759,0.6555256426944467,0.6563749495234898,0.6428326217507118,0.650973674596343,0.6570128924524268,0.6547754888146707,0.677824405252394
yeast3,0.8435759686168259,0.8449371192711567,0.8433906450455286,0.842688541389671,0.8241937947479034,0.8536263194139971,0.8515336196517309,0.8412248846206805,0.8782202557373766
AVERAGE,0.6915941293853538,0.6716803030708697,0.6909818606767465,0.693314217298751,0.6573254384315579,0.6848380972262688,0.6890113678295205,0.6920491625429273,0.7684106826995222
