Dataset,SMOTE,pf-SMOTE,Lee,SMOBD,G-SMOTE,LVQ-SMOTE,A-SMOTE,SMOTE-TL,LNE
abalone19,0.04165816572461602,0.02644633369057097,0.04029242227862338,0.03981954697148195,0.03787388805192384,0.02134297854176456,0.040253995406771034,0.04205705931630743,0.0326308086476639
abalone9-18,0.5546157359667794,0.547972922531288,0.5490009220564007,0.548140927055768,0.5278930305457641,0.581469349320366,0.5402854215016999,0.54967470230379,0.5439116187091465
ecoli-0-1-3-7_vs_2-6,0.7214812099965568,0.7264298023180794,0.725647942198931,0.7227016534504257,0.7251168804763004,0.7271635609566072,0.7264229731440599,0.7250469717285274,0.7217171462979359
glass-0-1-6_vs_2,0.34182994217515905,0.33990553946530283,0.3606926458163394,0.3267493981314627,0.33718252866573295,0.29535107597510596,0.34902970718147724,0.32976977095027393,0.2941042240118372
glass-0-1-6_vs_5,0.8062399626517275,0.819590909090909,0.8141255411255411,0.7934131652661065,0.8265897807865892,0.808290404040404,0.819624149659864,0.8062399626517273,0.8282156862745097
glass2,0.3140069962201252,0.26685732465249973,0.29603829458839487,0.296894149778383,0.2756271502598808,0.2946702954804492,0.30898177339133015,0.31283895778998383,0.25980802537151215
glass4,0.6374451574648495,0.6341066656190488,0.6465129750809189,0.6246748168180003,0.6295761053521722,0.6276772456870546,0.6441578560972883,0.6425960271018872,0.65740167447257
glass5,0.8669206552186092,0.8607734765234765,0.8638946608946607,0.8638946608946609,0.8681948956840262,0.8472167926636012,0.8620097402597402,0.8669206552186092,0.7967271062271062
page-blocks-1-3_vs_4,0.9068669419114957,0.9146757525240495,0.9156659530454311,0.9158382432425662,0.904711046457843,0.8652976197883195,0.912824772284916,0.906866941911496,0.9133736767311514
yeast-0-5-6-7-9_vs_4,0.4932574259360674,0.4819566179015329,0.49902456073668144,0.49694447166258815,0.49683863674869044,0.5054675744908282,0.49818257356821627,0.49199472090069934,0.47504532449076964
yeast-1-2-8-9_vs_7,0.20015890792144259,0.16891678246093728,0.1893974745239819,0.19495961201847223,0.18978656624070844,0.23933595695009285,0.21720110909994403,0.20741565963150105,0.16416888849423553
yeast-1-4-5-8_vs_7,0.12623154897843356,0.10169562201377988,0.12381746530083984,0.127525746326624,0.11745485648855378,0.11263805842907118,0.12404196262147846,0.12843844020141776,0.12295286259285343
yeast-1_vs_7,0.350579405502374,0.34803861094320554,0.36568388447902844,0.369422954566592,0.3300259852109516,0.3399704256159858,0.3653903474993097,0.3599313668698063,0.32952030803692367
yeast-2_vs_4,0.7972991668470897,0.7828184792025674,0.795587908118654,0.7946945413855766,0.788839051417025,0.7983958552828617,0.799929447688183,0.7800710899528867,0.7881890869826125
yeast-2_vs_8,0.592236105809939,0.6082642720917034,0.5981979935013622,0.5961930607742195,0.5901472758342121,0.5920954231411342,0.5974502366009062,0.5931417147613725,0.6129615740207102
yeast4,0.3858387978181415,0.3544904695840384,0.36424908673770806,0.369474103854205,0.3750195422066973,0.36122726389337834,0.38128188012503106,0.38931990019634954,0.36647979135055425
yeast5,0.6868269778214414,0.6867910635172594,0.6859334074376122,0.6829644440269358,0.6826684627320169,0.6613032051444102,0.684045831577871,0.6855885637225496,0.6723757405109207
yeast6,0.571656741611769,0.5856842033825158,0.5718458706635319,0.5777745302463227,0.5776490137474531,0.4869533245818104,0.5696374593608867,0.582891777019918,0.5621498569748877
cleveland-0_vs_4,0.8166612974883651,0.818583541941336,0.8193711367997082,0.8135212165960729,0.8200172274240597,0.7712289073637283,0.8044439564533594,0.8169408790179468,0.8679558450521183
ecoli-0-1-4-7_vs_2-3-5-6,0.7936894876565763,0.7965489013029354,0.7888214467636558,0.798006849289912,0.8021382124686053,0.7686093376446148,0.7955330700283254,0.7993689475670511,0.816806749526456
ecoli-0-1_vs_2-3-5,0.7893708142993219,0.7760465050312264,0.7793010107319936,0.7684630428611104,0.7845533290575119,0.7701924421560303,0.7806110929987483,0.7914331734307994,0.792858711144177
ecoli-0-2-6-7_vs_3-5,0.8009587777846064,0.7939236965428834,0.8087635640249269,0.8085642949161869,0.8155962543117837,0.8195996234672164,0.8040210984853371,0.808378401799839,0.7979554388313631
ecoli-0-6-7_vs_3-5,0.8144077740850848,0.8093604579066609,0.821092396470665,0.819018669680896,0.8196214418728671,0.8146260493298019,0.8152190366008074,0.8153111598387166,0.7797069173890799
ecoli-0-6-7_vs_5,0.8556147436756969,0.8529550379935353,0.847896868255733,0.8575011584814467,0.853639077162659,0.8638300247460963,0.8523297204171142,0.8543700728249245,0.8181850141395698
glass-0-1-4-6_vs_2,0.2847969063575658,0.2731545593738564,0.29213473692715924,0.2997170658134682,0.2698843529860785,0.3004388978721433,0.3088827001822903,0.294821299431189,0.2424947243977567
glass-0-1-5_vs_2,0.3302896980914152,0.29002021847102194,0.30435984430283536,0.3173965027442077,0.29548613895277687,0.2782869937111036,0.30692380938239566,0.3127634177208737,0.26366656237175884
yeast-0-2-5-6_vs_3-7-8-9,0.5873205291504935,0.5761152221402328,0.5870668429691884,0.5928360143113376,0.5830381981047583,0.5921081945618037,0.5920860268070006,0.5683580376195217,0.5626591595404375
yeast-0-3-5-9_vs_7-8,0.4475707407713573,0.45577086916765025,0.4412888809298396,0.43942238547422197,0.4475107647650643,0.421718028726852,0.422407104896487,0.44298187639565717,0.444733675335132
abalone-17_vs_7-8-9-10,0.3969229645030148,0.406005536465709,0.3921470215598049,0.39154879616645866,0.3873192290696129,0.3892247582640481,0.40618097639346606,0.39891462128787275,0.3975744310037103
abalone-19_vs_10-11-12-13,0.08533435227181865,0.06996589954877178,0.08843799646322295,0.08385124843958616,0.09856573765998547,0.05701129064555786,0.08597866259090442,0.08112797065393872,0.08329883878138272
abalone-20_vs_8-9-10,0.45140771665070345,0.4656784488010981,0.469534532329151,0.4654008457007893,0.4542402726930345,0.4209044255174071,0.46272864994000845,0.4500803008556612,0.4506605702482275
abalone-21_vs_8,0.6860590781660925,0.6932600887601181,0.6937390583032373,0.6968992762166555,0.6959376810495513,0.6367646413056341,0.7048094363675751,0.694861639700056,0.6500978719286874
flare-F,0.23255659773663218,0.26047327341965676,0.22462862782834692,0.24303433042918604,0.2344890497647368,0.2377479831541401,0.2359600901688514,0.23162180806635405,0.26587620024372594
kddcup-buffer_overflow_vs_back,0.8843655184886938,0.8810728425568947,0.8981335988356308,0.8866433615053213,0.8938257621708233,0.9158210347236052,0.8802155914814019,0.8843655184886939,0.9029682629426837
kddcup-rootkit-imap_vs_back,0.9127185011423895,0.9033016823297647,0.9083050339699129,0.9173374750578273,0.8868694794740349,0.907971131629991,0.8886727109504893,0.9127185011423895,0.93492521693566
kr-vs-k-zero_vs_eight,0.9467284168168927,0.9384516060567638,0.9468336794054055,0.9439348262376873,0.9403002903753339,0.9256264508619516,0.936305617703091,0.9467284168168927,0.9320591167768446
poker-8-9_vs_5,0.1300391452817801,0.14001447336641354,0.13407020670268702,0.14031250049901584,0.13294955709946915,0.11204479583599192,0.13275745473819608,0.13083739195464927,0.13016553963831318
poker-8-9_vs_6,0.9222851550788855,0.9823220685894638,0.9233275405683254,0.9237361861114781,0.8709239975116911,1.0,0.9591058433600781,0.9222851550788855,0.9026437785013555
poker-8_vs_6,0.9751298701298701,0.8835256232173698,0.9791576479076479,0.9846094954428288,0.8321412249003973,0.9962654320987655,0.9761175244508576,0.9751298701298701,0.9472085784585784
poker-9_vs_7,0.5150777015299013,0.4873825020346444,0.5126188898794097,0.5171998542574259,0.4564130522476651,0.5841774029918883,0.5456527857443547,0.5150777015299013,0.4831719342171351
winequality-red-3_vs_5,0.1351068602121134,0.11238407898334841,0.11639467503915857,0.12446277877462157,0.09450113185017478,0.19236042551927296,0.14143768126062078,0.13510686021211338,0.14410065985191484
winequality-red-4,0.09707232923056994,0.08347186680871169,0.09754519845991454,0.08922332260616761,0.09630547724621004,0.09653960954776239,0.09616749354598957,0.09874385223770854,0.11350483383309215
winequality-red-8_vs_6-7,0.059939489074040495,0.06230468383530259,0.06332213775039937,0.06212076824777529,0.061987166085165545,0.056971238244759595,0.06746400822741679,0.05991126572853367,0.07615403591344562
winequality-red-8_vs_6,0.14287966309638278,0.13795229951350013,0.1406466154852497,0.13906863055885946,0.1362942850661351,0.11497439459249788,0.14577375219381047,0.1429217182437303,0.18678311809911935
winequality-white-3-9_vs_5,0.13960987894687316,0.1326463742050317,0.12851522628362666,0.12139954257824495,0.14710330293524115,0.21238853983137793,0.13141084692713131,0.14522080725221584,0.1085923916898486
winequality-white-3_vs_7,0.16666128972576513,0.1375534401369926,0.16531166731283886,0.1730762193668072,0.14208716624087753,0.27214795441611567,0.1615966590526006,0.17043678327991887,0.18572868283894417
winequality-white-9_vs_4,0.7678226817042606,0.774200558213716,0.7632288441692466,0.7470419754823779,0.7635212418300654,0.7175909172813199,0.7718196058327637,0.7690726817042606,0.6800972594321052
zoo-3,0.7333333333333332,0.7333333333333332,0.7452020202020202,0.7432478632478632,0.7428210678210678,0.7825335775335776,0.7351190476190476,0.75,0.7931318681318681
ecoli1,0.8837744209660301,0.8806071977151515,0.8854269007973453,0.8830559590159283,0.8850529284998985,0.8813394781936326,0.8816185131290754,0.882418150496223,0.8586925236047716
ecoli2,0.8989686164835147,0.9091804671588533,0.902665418190387,0.9031999062815569,0.8999726432290551,0.9033990306031974,0.9017486805746492,0.8987656668270885,0.8995863104926538
ecoli3,0.6689010806963926,0.659353650797309,0.6748055621213961,0.6619945795813151,0.6596701023736784,0.6395526051115612,0.6799434636155225,0.6716787886252886,0.6868108351646527
