Dataset,SMOTE,pf-SMOTE,Lee,SMOBD,G-SMOTE,LVQ-SMOTE,A-SMOTE,SMOTE-TL,LNE
abalone19,0.5434406687590536,0.523872827136649,0.537166525832931,0.5290228150651858,0.5628183848382424,0.5730504587155963,0.5368768107194591,0.5400983824239497,0.6822142081120232
abalone9-18,0.7874679811257163,0.7742748808320092,0.7845947686455774,0.7939191222495066,0.7830208483797969,0.830105024315085,0.7884828951803168,0.7870319346140882,0.7923432760364004
ecoli-0-1-3-7_vs_2-6,0.8452554744525547,0.8452554744525547,0.8448905109489051,0.8452554744525548,0.8452554744525548,0.8434306569343066,0.8452554744525547,0.8456204379562043,0.8498479318734793
glass-0-1-6_vs_2,0.7281522117729015,0.6844043887147336,0.7332658481365378,0.7032349355625218,0.694607715081853,0.7317136886102403,0.7074886799024729,0.7184931208638106,0.7206221699756183
glass-0-1-6_vs_5,0.8937173458725184,0.8937173458725184,0.8937173458725184,0.8537173458725184,0.8967855276907001,0.8824673458725183,0.8937173458725182,0.8937173458725184,0.924012539184953
glass2,0.6430362296433725,0.6661461554318697,0.6396529066171923,0.6715084518655947,0.6332251082251082,0.7429795403009688,0.6735131931560503,0.6440463306534735,0.6416022469593898
glass4,0.8530693069306932,0.8071636020744931,0.8528738802451674,0.8442359735973597,0.8417687411598302,0.8554372937293729,0.8523738802451672,0.8530693069306929,0.87706129184347
glass5,0.9596363982486199,0.9491462021701885,0.9476265943270512,0.8566557205406434,0.9376265943270512,0.8090971825623452,0.9371363982486199,0.9596363982486199,0.9647772701313535
page-blocks-1-3_vs_4,0.9675675675675677,0.9727155727155727,0.9713642213642213,0.9673423423423424,0.9706885456885457,0.9704311454311453,0.9709137709137708,0.9675675675675676,0.9831724581724582
yeast-0-5-6-7-9_vs_4,0.7527805686806426,0.7245789934898967,0.7405481414967017,0.7508893201310134,0.7493121008944292,0.7575588708608645,0.7460993527761925,0.7489082716446733,0.7566079900901462
yeast-1-2-8-9_vs_7,0.6153279866046371,0.5917481995224096,0.6076747438422239,0.6083747657238538,0.6112105773896168,0.6528942736725938,0.6160718193148196,0.6094233714834794,0.6784123926135228
yeast-1-4-5-8_vs_7,0.5748342008517453,0.5469206736310803,0.5773999017216903,0.5576632208592679,0.5673788507504337,0.5922222424440966,0.5689250961550127,0.5711996626991349,0.5944365376915517
yeast-1_vs_7,0.6826526841990872,0.6677012243715135,0.680663261609795,0.7005553140621604,0.6654509889154532,0.7105310439759472,0.6930699847859162,0.6919550097804825,0.6943892632036514
yeast-2_vs_4,0.860569792276689,0.8501992949579156,0.8612785547785549,0.8603580069355932,0.8552122188156671,0.8740366673556329,0.8614199478682236,0.8604938021748365,0.8628545305269444
yeast-2_vs_8,0.7767748917748918,0.773051948051948,0.7754761904761904,0.7702380952380953,0.7648051948051948,0.7615800865800866,0.7682900432900432,0.7778571428571428,0.7704761904761905
yeast4,0.7460736751697226,0.697057895339352,0.7315826022695193,0.7460986200440046,0.7209546950209744,0.787469162862258,0.7305139416071956,0.7482055675326753,0.7835251052018659
yeast5,0.8997159090909091,0.8738320707070708,0.9041224747474746,0.901780303030303,0.9001325757575758,0.9270138888888889,0.901780303030303,0.8997853535353535,0.9280492424242425
yeast6,0.8358648506967402,0.8127645994194973,0.8230105398227113,0.8243326042806783,0.8194673706912117,0.8275254657905583,0.8053025244771179,0.8279889035820082,0.8463814956350229
cleveland-0_vs_4,0.8735416666666668,0.8741666666666668,0.881875,0.8902083333333334,0.8642559523809524,0.8549404761904762,0.88125,0.8735416666666665,0.8960714285714285
