Dataset,SMOTE,pf-SMOTE,Lee,SMOBD,G-SMOTE,LVQ-SMOTE,A-SMOTE,SMOTE-TL,LNE
abalone19,0.11872536259566195,0.06874111865965649,0.10622778674782318,0.08748270482734102,0.15621913894318729,0.22486873002800042,0.10622627209081348,0.11247650481009171,0.839700859285019
abalone9-18,0.6684036120347899,0.6079380468147109,0.6590529248732888,0.6731532460874307,0.6499553897406092,0.7942025459123938,0.6637064710948629,0.668385168274195,0.9321987366272968
ecoli-0-1-3-7_vs_2-6,0.6999521223043323,0.6999574377661066,0.6999361487140017,0.6999574377661066,0.6999574377661066,0.699888248340973,0.6999574377661066,0.6999734113564373,0.7884707127971017
glass-0-1-6_vs_2,0.6483794480599475,0.5704863873298563,0.6608383742901072,0.6728484900315265,0.6275407169481759,0.8360318290101446,0.6153294792414046,0.6483046862865003,0.8863114043701261
glass-0-1-6_vs_5,0.7997013102183029,0.7997013102183029,0.7997013102183029,0.719806691408087,0.8047542283908518,0.7891524862672289,0.7997013102183029,0.799701310218303,0.9032556252022491
glass2,0.4789466266828981,0.46958814139056865,0.4549094703639306,0.491703914251274,0.4581803365457565,0.7325077738220951,0.5021242493037288,0.4789172518948683,0.6972577717467028
glass4,0.7484773763378761,0.6446633318622705,0.7461055663291289,0.7318004413851206,0.7202030333751182,0.7644878347902404,0.7460854203487107,0.7484773763378761,0.8600035065595636
glass5,0.9296863187375479,0.9096768173673098,0.9047622878372437,0.724993528579645,0.884800660822662,0.6250046188303894,0.8847623246141131,0.9296863187375479,0.9294023606950603
page-blocks-1-3_vs_4,0.9492333614053818,0.9565576788610345,0.9563781283444035,0.9491950940726162,0.9562934293475708,0.9629543541909387,0.956311718368478,0.9492333614053818,0.96854274906709
yeast-0-5-6-7-9_vs_4,0.6140233209826842,0.5497620607307921,0.6164142149008389,0.623946962070386,0.6064543790759027,0.7618829097209155,0.6212581610278833,0.6177397646204764,0.8792319025045904
yeast-1-2-8-9_vs_7,0.3192067705445488,0.2728018552514357,0.31257993689874575,0.33247416731441215,0.3193538425569188,0.5362800465162421,0.33918353567554804,0.3192025195643715,0.8976362449089905
yeast-1-4-5-8_vs_7,0.27206189671307957,0.20594469277809377,0.2853078004464177,0.25216961784595054,0.24578027515361356,0.4997915774011762,0.26549477435493923,0.27207184258706457,0.8872753338699786
yeast-1_vs_7,0.5546388512814133,0.4632654563636763,0.5152753727750738,0.5479415501965542,0.4692563210193499,0.7352790339414466,0.5347568931582117,0.5678255814076942,0.9176141804225029
yeast-2_vs_4,0.7669217135700216,0.7326980212795455,0.7668772676287346,0.7670487154551612,0.7590714996122992,0.8253569225777587,0.7705873523978963,0.7627637631363025,0.8226036339622127
yeast-2_vs_8,0.569974281116695,0.5503537910187578,0.5698995418856709,0.5501947892148744,0.5499448895705692,0.5491903249832479,0.5501405310317373,0.5700211026411848,0.9067421968178804
yeast4,0.544013919673564,0.43546904430119693,0.5130422930426298,0.5400099183754083,0.49307300735171966,0.7325275418285006,0.5125229005701585,0.54785597985636,0.9177911627784185
yeast5,0.8178425983849695,0.7679587322028911,0.826916942622605,0.8223701515904059,0.817864745191813,0.8987626402943398,0.822371111777564,0.817845873674955,0.9195144147070138
yeast6,0.6980131948222319,0.6409649350373868,0.6702991118451128,0.6748347217645164,0.6637593716227211,0.7360147241284981,0.635986231400434,0.6810569869749036,0.9018670043903452
cleveland-0_vs_4,0.7819585544656998,0.782051099825399,0.7985777500092801,0.8151668010286321,0.7543137013401608,0.7509285174408149,0.7984848715587786,0.7819585544657,0.8372552256711627
ecoli-0-1-4-7_vs_2-3-5-6,0.7974182902203043,0.7699149877003262,0.7837985161724899,0.7977277352139656,0.7767685598577045,0.8024538587182948,0.80361968742619,0.8114254479090984,0.8667829828912318
ecoli-0-1_vs_2-3-5,0.7749684206081389,0.7746999985332028,0.7751811062846238,0.7895957145141803,0.7743838246282192,0.8047261406424406,0.7979822215766285,0.7749767399673679,0.8318903703011215
ecoli-0-2-6-7_vs_3-5,0.7594740116683314,0.7343735679263302,0.7587408254758545,0.7517342327527412,0.7682157083761381,0.8088900482677841,0.7595111651709076,0.7509883999838187,0.8336983753235355
ecoli-0-6-7_vs_3-5,0.751689481018601,0.7446351024877218,0.7607953705154392,0.7609393976688269,0.7601265006311039,0.7990816341911404,0.743206221109929,0.751689481018601,0.7967293217773526
ecoli-0-6-7_vs_5,0.787740503495834,0.7978819983206655,0.8065045671288444,0.797237705805492,0.7879733781003395,0.8418088238846263,0.7876935835385825,0.7876720800797343,0.8257308864358087
glass-0-1-4-6_vs_2,0.5496747517737438,0.5246333624852594,0.5606988680921374,0.5725817643745212,0.5691225970988161,0.7377650297774594,0.5620607011722972,0.5496194207254709,0.8322400482490121
glass-0-1-5_vs_2,0.5455426451209441,0.5802913766314087,0.5788080258258669,0.5807980900064497,0.5441495594174238,0.64909680216897,0.5680372535543009,0.5452410629606215,0.83066083665101
yeast-0-2-5-6_vs_3-7-8-9,0.6274977985630144,0.49845967079426473,0.6260824189862513,0.6203426829431584,0.6069570088249672,0.6825221491140152,0.6243290291298824,0.6387062949925764,0.896409104323704
yeast-0-3-5-9_vs_7-8,0.4965970415118969,0.3995402763871999,0.4963012313383269,0.4961002239678646,0.49366210180743797,0.6176426513101412,0.5084144411186207,0.4892752065843891,0.8681703083085512
abalone-17_vs_7-8-9-10,0.6785518823667784,0.6098366345141886,0.6545252713592924,0.651087117062488,0.6201022568547182,0.7188780493235877,0.6682945580595865,0.6751456132222743,0.9720915227407104
abalone-19_vs_10-11-12-13,0.23093827667600256,0.17485462436882707,0.2808642124395955,0.24965939661340975,0.25594309802147264,0.41734192739184717,0.25590417206016103,0.2434250030191904,0.9040079071479005
abalone-20_vs_8-9-10,0.6382951073635488,0.5460644100273043,0.6152292639203651,0.5998644564999683,0.553730533510149,0.7762981497782373,0.5921667765945293,0.6306132053795938,0.9397785153369487
abalone-21_vs_8,0.6285068225909007,0.6142831786433752,0.642806184036686,0.6285292000955572,0.6142098724984777,0.6284571601394825,0.6285266131175768,0.6284981615943576,0.8070550264602241
flare-F,0.45019596424371117,0.33848620266479057,0.44609244762481637,0.441348464249437,0.41830155207477554,0.5566564039601432,0.41802499194753084,0.45063124576795177,0.9126816301465057
kddcup-buffer_overflow_vs_back,0.8666867692384257,0.8600205960511775,0.8733522832755327,0.873352281181158,0.8666864378680916,0.8800133450810386,0.8600205960511775,0.8666867692384257,0.9066623984489504
kddcup-rootkit-imap_vs_back,0.8000154946024092,0.7909252433267989,0.8000154957994408,0.7909250783616115,0.781834830377883,0.8272865720750641,0.7909252442246173,0.8000154946024092,0.8909181552744705
kr-vs-k-zero_vs_eight,0.9180567123196036,0.895000811711494,0.9026800668886527,0.9257486288160542,0.9103717898388703,0.9168281077459917,0.8873042018249657,0.9180567123196036,0.9371849688871151
poker-8-9_vs_5,0.2236906403266048,0.20063265156898588,0.2236898795322571,0.22305161244048793,0.1993472699554231,0.3080585315452158,0.21600289986265614,0.2236914013956154,0.9654300126704307
poker-8-9_vs_6,0.8775340901546962,0.9512807385560145,0.8775301509608548,0.8692003820063103,0.8294577314187528,0.9999810535813343,0.9204760553291195,0.8775340901546962,0.9354830970271728
poker-8_vs_6,0.9888571819174287,0.876375944710731,0.9777547006308185,0.9888663748985236,0.8291357097714573,0.9999742962465726,0.9888603711011218,0.9888571819174288,0.9841071355208773
poker-9_vs_7,0.4001220191858569,0.3751291989699582,0.3001220397842679,0.3001794491930362,0.27515791809571344,0.2501579345879258,0.2751363869948408,0.4001220191858569,0.6869151980243984
winequality-red-3_vs_5,0.1599878942025683,0.13999134814889533,0.15998962348359383,0.1599922025535812,0.17999307274023263,0.1600094741523409,0.15998789941565675,0.15998789420256831,0.694358798334258
winequality-red-4,0.218118304844852,0.1615446508010727,0.22208671725251122,0.22962355634576107,0.19200041421119318,0.2446234925184135,0.2108550274468896,0.22579141867994695,0.9039959915076503
winequality-red-8_vs_6-7,0.15548317573319353,0.14436464264858578,0.15548434527755994,0.1665771482301258,0.13327000856734775,0.055535604871311775,0.1221646541672444,0.15548431313057715,0.8995954938469023
winequality-red-8_vs_6,0.277579622535774,0.2332048220784376,0.25540152999746246,0.27759040235498056,0.2664930238241772,0.26635784072783486,0.26651362710088866,0.277579622535774,0.8644513490886853
winequality-white-3-9_vs_5,0.16023930404521125,0.16024380066976213,0.16793103033681198,0.167934629392207,0.16857694824603206,0.2742996802702405,0.16023270273665297,0.16023930404521125,0.9051448791277246
winequality-white-3_vs_7,0.15997213958324413,0.140004650011499,0.17000517275213703,0.14999432599322787,0.1500191081287612,0.28999690940963124,0.1699907152757773,0.16997575472552579,0.8362925819115746
winequality-white-9_vs_4,0.6334106197953842,0.6333660432723531,0.6334106197953842,0.4666830285957987,0.6334106197953844,0.3667276316209292,0.5999885551853591,0.6334106197953842,0.6621661974849931
zoo-3,0.499697681066609,0.5997841485653,0.5664509278198556,0.3667969121545983,0.516666929047093,0.31675354702016645,0.5996975684787201,0.4998706914472318,0.49547512403075633
ecoli1,0.865007626188607,0.8377644728489907,0.8775690515619976,0.8539766214107185,0.8698282900412784,0.9110100227909207,0.8705334045923478,0.8623070108259118,0.9051723155967553
ecoli2,0.8935481096290248,0.8695158793048403,0.8982176480933992,0.8942569761826007,0.8803653797084824,0.9009563394133708,0.8983132696237401,0.8901053264535136,0.9027071409627723
ecoli3,0.8611504004931362,0.8399456587797065,0.8608172115410506,0.860997667301929,0.8601586178687988,0.8988889671349855,0.8491599776875363,0.861128302267322,0.8725468341708759
glass0,0.8182152189720469,0.7961312782940827,0.8084332568137793,0.8100255337464375,0.8096077808785423,0.8189611060949211,0.8132066315898747,0.8192491527896293,0.8140081208312939
glass1,0.7520358847104818,0.716813273573171,0.7533478036710204,0.7463869336630534,0.7511655491400945,0.7291589638475136,0.7543898678375035,0.7514417418249288,0.7503819393132709
haberman,0.705662486960849,0.5765242335339604,0.701886626805506,0.6904846705675983,0.6808893401347202,0.7443287420112759,0.6954543849541577,0.7109515419044795,0.7501720279469312
page-blocks0,0.9454743896850287,0.8544732170973592,0.9419339748138515,0.932943397533528,0.9358561095937958,0.8413157037772777,0.9437023500397747,0.9414134845254101,0.9677169272748307
pima,0.7400159431649385,0.6742153618319549,0.7355183095610965,0.7391553062632923,0.7360611685267423,0.7184511164784253,0.7368566146260452,0.7433062692949106,0.7705540220254964
vehicle1,0.7918464177365101,0.7486249907341179,0.7985176892222856,0.7914225933562999,0.7947259350773437,0.7947090358872493,0.7950313576008209,0.7894647944092593,0.8633745688166659
vehicle3,0.7953888511872607,0.6857120078904184,0.7959292767019334,0.7970854628906388,0.7834944063530047,0.7913386719944107,0.7897046591452295,0.8020991731858225,0.8619930020089974
yeast1,0.7454008483095004,0.6504611467852466,0.7425566630738285,0.7340357731409136,0.7375522577742067,0.6880707790991532,0.7465274854426429,0.7446747923466511,0.7722524659308351
yeast3,0.8410006299525208,0.8182210338431751,0.8457379992525407,0.8330855730073752,0.8377901911149912,0.8537599324505611,0.8446198792021727,0.839756029829743,0.9259470434906628
AVERAGE,0.629857501561586,0.591113453269199,0.6282650105612226,0.6175836274435894,0.6131723299029211,0.6690714148521265,0.6251403141518987,0.630243427141485,0.8589268275338713
