Dataset,SMOTE,pf-SMOTE,Lee,SMOBD,G-SMOTE,LVQ-SMOTE,A-SMOTE,SMOTE-TL,LNE
abalone19,0.29914240441339474,0.2113968096635491,0.27998214063580185,0.2556099367190973,0.3618063451669175,0.4597573026832921,0.27736932078311116,0.28898298574797865,0.664275280733073
abalone9-18,0.7758067730855337,0.7522572273838184,0.7739167015951887,0.7812895983986642,0.772965263006787,0.8290321569606276,0.7758316229520872,0.7754570338008718,0.7879360246696707
ecoli-0-1-3-7_vs_2-6,0.8269412857991096,0.8269902711902617,0.8266246392530446,0.8269902711902619,0.8269902711902617,0.8254044882788605,0.8269902711902617,0.8273069177363267,0.8052043759482432
glass-0-1-6_vs_2,0.7408502788665972,0.7208927581114846,0.7524122845058289,0.7582000879855462,0.73482729689962,0.7900050745999303,0.7206825107714829,0.7403081620508509,0.6782591792497318
glass-0-1-6_vs_5,0.8785867594065442,0.8785867594065442,0.8785867594065444,0.8236267304889615,0.8819077581327608,0.8622646749552614,0.8785867594065442,0.8785867594065444,0.9244189277530388
glass2,0.5403308176474104,0.55363353788785,0.5484128826968828,0.5675942666243239,0.5413578221645489,0.7402287110295334,0.5716532668098941,0.5412862102380058,0.5936095500009186
glass4,0.8431543759156102,0.7760243528220457,0.8397707642832302,0.830045273777395,0.808141003850079,0.8483840263104424,0.8413841327842382,0.8431543759156102,0.8697900012949281
glass5,0.9576184244677647,0.9465673013306836,0.9447278656087162,0.8377451478997937,0.9341705847087078,0.7605924880920274,0.9337288787838057,0.9576184244677647,0.9614967050780121
page-blocks-1-3_vs_4,0.9655255153429734,0.9714224485968976,0.9693917009904256,0.9652531841475289,0.9687101026620345,0.969211251691702,0.9688891982389484,0.9655255153429734,0.9847827308035283
yeast-0-5-6-7-9_vs_4,0.7307645923369448,0.7002136382079233,0.732790900462917,0.7388933600430176,0.7301684953562264,0.7458196373886408,0.7295577149944112,0.7384375179552426,0.7470919009348576
yeast-1-2-8-9_vs_7,0.5200573683262442,0.4830354443796149,0.5229878874775017,0.5330523558727908,0.5282529425276371,0.6460574369691013,0.542181902820317,0.5199296632502952,0.6355144808346331
yeast-1-4-5-8_vs_7,0.47700904782142456,0.4213046364130319,0.4867340728351011,0.45760127809331863,0.4585167801883846,0.5747982927792366,0.46714354583229845,0.47720334163020633,0.5687836267397917
yeast-1_vs_7,0.6786720499485107,0.6298762800350447,0.6679698536852907,0.6830873347767256,0.6274588721179309,0.7058124669177758,0.6753067706791654,0.6865904179380891,0.705161421543017
yeast-2_vs_4,0.854314614905301,0.8383278565863845,0.8546076594729209,0.8555190132462629,0.8494093830814666,0.8727950225793636,0.8551037124196796,0.8515681914605941,0.8619232938213675
yeast-2_vs_8,0.7437209700344157,0.7369120180899208,0.7426493208158769,0.7346217952967052,0.7296114728724332,0.7194753263481667,0.7322769374055926,0.7444892164030161,0.741873044941572
yeast4,0.7137135411146476,0.6392487039596356,0.6935411307588039,0.7112180527047676,0.6792870283263298,0.7806348138314126,0.6920769851462419,0.7163413427733377,0.7763260144012286
yeast5,0.8950690369817579,0.8679054848739014,0.9000826906646557,0.8973148496888003,0.8955865048285858,0.9241614621157332,0.8973239397818491,0.8951304456177575,0.921377655183006
yeast6,0.821648897628919,0.7884820230023817,0.8052255494867986,0.8035670800535417,0.8016273048885292,0.8207774797918578,0.7901582363081114,0.8117446230232345,0.8391686283109696
cleveland-0_vs_4,0.8668313411660264,0.8674791701274996,0.8764405625581967,0.8859567669618109,0.856324931786491,0.8474368429787116,0.866863551117962,0.8668313411660264,0.9009049568982883
ecoli-0-1-4-7_vs_2-3-5-6,0.8765207786709421,0.8664835195209699,0.8760437146537221,0.8799640956175916,0.8592584808297398,0.8564727810650355,0.8756992820087003,0.8838358659692396,0.8646991016031531
ecoli-0-1_vs_2-3-5,0.868934828085267,0.8673821543423145,0.8698831497065713,0.868486474412679,0.8656971236457849,0.8741209251850618,0.8700465680548566,0.8689525638208206,0.8701699927599265
ecoli-0-2-6-7_vs_3-5,0.8334986831771396,0.8277211639665936,0.8352968691612856,0.8394237726747891,0.84420678539253,0.8363756306743181,0.8386487757483143,0.8373368673225452,0.8427110406559656
ecoli-0-6-7_vs_3-5,0.8426559214049296,0.8375506692735307,0.8457336608902786,0.8481298628782434,0.8288905270011415,0.842837735163141,0.8364452349106803,0.8426559214049296,0.8528427299648523
ecoli-0-6-7_vs_5,0.8654023144062469,0.8716090386632167,0.866783521943775,0.8683294075697686,0.8677454551763006,0.8747715943270323,0.8675519596889689,0.8649499610528935,0.8610807989811299
glass-0-1-4-6_vs_2,0.6600613518580388,0.6579010185791014,0.6726333881820851,0.6767929709485372,0.6783988598889852,0.7376055531088925,0.6732762267001499,0.6596124813149562,0.6715143961141293
glass-0-1-5_vs_2,0.665403083952154,0.7000481738419967,0.6774049906852001,0.6825833964684362,0.662768089436275,0.6923011837160468,0.6773171085222882,0.6632386259103524,0.6356123921134061
yeast-0-2-5-6_vs_3-7-8-9,0.741597152985722,0.695029976549287,0.7421902679013831,0.7332521689438499,0.736913468637814,0.7565962807744859,0.7348969238821992,0.7390607656169069,0.769740547487568
yeast-0-3-5-9_vs_7-8,0.6365051111042883,0.6054044286950808,0.6482546744466794,0.6389434071222573,0.6425254291738052,0.64915032603272,0.6414694524956384,0.6354666878281042,0.6731046448478822
abalone-17_vs_7-8-9-10,0.7984107531260779,0.7593214808700227,0.7949086597663948,0.7872821900406297,0.7679676095174723,0.8027047137757066,0.7975769828678827,0.8006931031051863,0.8444161041714662
abalone-19_vs_10-11-12-13,0.44520857128768637,0.38398624416217614,0.4898698819003376,0.46762832114804287,0.4748676761128975,0.5805100380697629,0.47419531763811085,0.45926783976653046,0.6438488243479655
abalone-20_vs_8-9-10,0.7853690775267929,0.7324711455122078,0.7706795772433225,0.7601882386928305,0.7321559344552329,0.8517424950593029,0.755740851985947,0.7812165727304612,0.8753091537548976
abalone-21_vs_8,0.783683786961968,0.775125428028924,0.7942575342390159,0.7843172019666732,0.7708363382453165,0.781386795826186,0.7842874064239873,0.7810469937796763,0.8499322532844774
flare-F,0.6428143375783341,0.5610281680340589,0.6382190928485725,0.6221846024226905,0.6190285238562593,0.7049483009422682,0.6063789886409687,0.6360060248323891,0.7805318381151216
kddcup-buffer_overflow_vs_back,0.9298248226146942,0.9259112152564952,0.9332156443067646,0.9332156443067646,0.9295634297816301,0.9360052071552595,0.9259112152564952,0.9298248226146942,0.9472734366763405
kddcup-rootkit-imap_vs_back,0.8936272775114114,0.8887344219601813,0.8936272775114114,0.8884541606803266,0.8835613051290963,0.9088663667248117,0.8887344219601813,0.8936272775114116,0.9478112434629289
kr-vs-k-zero_vs_eight,0.9545625382038896,0.942088700135208,0.9462913203208624,0.9585480920991628,0.9506193897014319,0.9495387012797745,0.9376660740725813,0.9545625382038896,0.9579762920416902
poker-8-9_vs_5,0.46355859244018394,0.4408074532595436,0.4560301975599826,0.4308469674649795,0.4291713130214874,0.4914818413649125,0.4521308270780907,0.4637814567676372,0.6585259958021242
poker-8-9_vs_6,0.9310829287158022,0.9743282164128203,0.9309544747188678,0.9263391724800403,0.9039789057456649,0.9994517259842934,0.9566842421682713,0.9310829287158022,0.9216155006608456
poker-8_vs_6,0.9928446075995708,0.930183734968794,0.9874197557122191,0.99325636712661,0.9015129458557306,0.9989031694255438,0.9929820181871672,0.9928446075995708,0.9854948974901448
poker-9_vs_7,0.5588697208519834,0.5383126378812432,0.45200905392761753,0.45334107540911994,0.432330138277537,0.4073132184970986,0.43181536887174765,0.5588697208519834,0.5753418718464043
winequality-red-3_vs_5,0.35479959231365155,0.3105407015206247,0.35486609663126034,0.35506442456639414,0.3735614334960168,0.3303219493077007,0.3547331832150252,0.35479959231365155,0.5847242639924822
winequality-red-4,0.4453832938278814,0.37631798256332233,0.45089765161740863,0.4573160694950057,0.427469308567139,0.4812645507757021,0.4367007071524278,0.45553663850401466,0.6527581906712142
winequality-red-8_vs_6-7,0.35073413967745964,0.2984325958864125,0.35092634101450243,0.363757236157617,0.293324962130996,0.16364632196500675,0.298709848256909,0.350815564025991,0.6304297969271231
winequality-red-8_vs_6,0.5082437388309015,0.4659933880010815,0.4879998750674318,0.5082706902909615,0.4980572983773312,0.4865468177514078,0.49874866264427364,0.5082437388309016,0.7498161136844093
winequality-white-3-9_vs_5,0.3672288793323899,0.36369678368832264,0.3757936037288555,0.3762216520489341,0.35563577539160013,0.4980743521434573,0.36684099288898636,0.36733612421454875,0.5877005676592837
winequality-white-3_vs_7,0.3575455643696454,0.3015388769550692,0.37987893002875095,0.3350178726018778,0.3762212330655098,0.4674013820183651,0.37651029396469055,0.3575455643696454,0.5814294151706993
winequality-white-9_vs_4,0.7755084173372108,0.7744616275316577,0.7755084173372107,0.5549796497321176,0.7755084173372107,0.4965747408525815,0.7494603898812716,0.7755084173372108,0.7981111679407236
zoo-3,0.5732958669941051,0.6788601562606877,0.6549455250868778,0.495036358090479,0.6273428069560095,0.42432567997182424,0.6778130069860036,0.575401365956849,0.5258024527151969
ecoli1,0.8805424555117712,0.8674830375148257,0.878935049943515,0.8702528880240508,0.8750627221593265,0.8747341829613642,0.8742988313456224,0.8785723438023523,0.8756179244055866
ecoli2,0.9208361264103724,0.9146441145078225,0.9241993145516727,0.9195512813654483,0.9188878198465618,0.9216922811840018,0.9206870383205606,0.9230675786249758,0.9216255072279743
ecoli3,0.8874840992095399,0.8812633021373072,0.8876251746420506,0.8902071403495366,0.8853276581204197,0.8922135432674544,0.8796801613373724,0.88678272496515,0.8833608099336585
glass0,0.7885634256444047,0.7864504870228275,0.7791377219963891,0.78524188454845,0.7928347831753143,0.7873624884778507,0.7914852482593162,0.7796620263517846,0.8017349234738107
glass1,0.7021747733428564,0.7053511609537517,0.714427827399392,0.7081160977711132,0.6982173272675161,0.7126534230438041,0.7035361314344611,0.7018244308329533,0.7006591987593417
haberman,0.6399085049030924,0.6433311710649703,0.6341583299621271,0.6148995950733923,0.6422153486310707,0.6066172220876219,0.631844245433954,0.645624884917617,0.6514754742649602
page-blocks0,0.9436537882977897,0.9155395779937738,0.9441986858272855,0.9438663502652964,0.9451181433809616,0.9096743598046174,0.9438327434120837,0.9431057365398647,0.9486377445208122
pima,0.7328383545483912,0.727124937169074,0.7393758210222139,0.7323744076918054,0.7354509313633212,0.7373995017771249,0.7422177519062745,0.73331727732981,0.7418073434738484
vehicle1,0.8194804437691543,0.8042752971194818,0.8222679140800457,0.8162226010951237,0.8185252417005031,0.8108562075927297,0.8185152827302742,0.8170197159305239,0.8196560720793855
vehicle3,0.8085457621104426,0.7616088804297869,0.8109145393303869,0.8105638543802403,0.8068360832712308,0.8018487717863929,0.8074109759000685,0.8128464418374162,0.797067600607572
yeast1,0.7091016660778993,0.7051272893016342,0.7116909325515323,0.7036436710647113,0.7050971770718044,0.699212295142337,0.7081681185309479,0.715552032563152,0.72232279116186
yeast3,0.8911993066843567,0.8832810579934943,0.8902936312103759,0.8886159241526018,0.889610506594509,0.8891423894065449,0.8941630881009855,0.8905425193243509,0.9055640513101364
AVERAGE,0.7292877089077595,0.7092884689599697,0.7297767242974893,0.7186318937201415,0.7201570478423703,0.7374549333628537,0.725632020118179,0.7296255138536246,0.7812958710883727
