Dataset,SMOTE,pf-SMOTE,Lee,SMOBD,G-SMOTE,LVQ-SMOTE,A-SMOTE,SMOTE-TL,LNE
abalone19,0.028424951448241885,0.022079268343610618,0.03163475396089695,0.026231746022524444,0.028798692523705878,0.029330980935631374,0.0319836417105871,0.02843316650633602,0.0256014796877153
abalone9-18,0.48347798625761235,0.4624355057722266,0.478682158560766,0.4947796561819553,0.4553055223025867,0.5133344945763959,0.4881797598942853,0.4780421910232203,0.440193746338059
ecoli-0-1-3-7_vs_2-6,0.6888182696751889,0.7152612216881726,0.6895105831656707,0.717120680480135,0.7356048977219343,0.7178009899065678,0.6824638863277712,0.7264823989873912,0.5412224750076781
glass-0-1-6_vs_2,0.36384118873857224,0.3847944427880331,0.393156143918996,0.3752737890904761,0.3623396295986932,0.3005078855461188,0.4003013185537867,0.3665192359618257,0.3159344820899111
glass-0-1-6_vs_5,0.7828452380952382,0.7656278998778999,0.7874844591682827,0.7756312546766269,0.7921677811435875,0.6647037499823878,0.8046046361046362,0.7828452380952381,0.7443621728513033
glass2,0.3550561732043024,0.3460162989125317,0.34661596524220173,0.3461908303658025,0.3292701775339929,0.35384832471481686,0.34845870077003405,0.35420386628631373,0.2964260199019027
glass4,0.8442267163275566,0.8385077620791905,0.8278041772264461,0.822892952052616,0.8204238503768579,0.7178339468940973,0.8415123963338249,0.8442267163275565,0.8120191351394359
glass5,0.787790094392128,0.8114148404497457,0.7983158846872083,0.7849498489879587,0.7958513619596366,0.6969720393449902,0.7706719576719576,0.7877900943921279,0.7493296259618935
page-blocks-1-3_vs_4,0.8205075235898512,0.8162384005218332,0.8027250866990014,0.8314298728196041,0.8018735292486415,0.7651534001915448,0.82195277268283,0.8205075235898514,0.8472210197058544
yeast-0-5-6-7-9_vs_4,0.5375945269137894,0.5344152866771154,0.5379314866377763,0.5298933688032181,0.539088540493488,0.4923794811890442,0.5507133358054849,0.5382395466306484,0.5226978815744097
yeast-1-2-8-9_vs_7,0.28026875344368546,0.21285901246972058,0.2379291607162748,0.30221271757586576,0.24299096512547108,0.28975837243001645,0.2769174518266576,0.2796717871529472,0.2422010753736481
yeast-1-4-5-8_vs_7,0.11906133070258398,0.11075812973861776,0.13954218794474899,0.12537425621720333,0.11518865878131963,0.11723031550246485,0.13584693100048803,0.1180038160559616,0.1351525661508141
yeast-1_vs_7,0.4574135267108548,0.3720740092828638,0.42216819478420414,0.44768914833825857,0.41933512365759257,0.4132273240604475,0.4609248728316171,0.4508392546621988,0.42543636079257025
yeast-2_vs_4,0.8493974690197776,0.844075888939091,0.8580751063984783,0.8579411301649446,0.8542294901329439,0.8420521371006325,0.8606436958355543,0.847976550364429,0.8537419698269101
yeast-2_vs_8,0.5890322031202258,0.5637790596100947,0.5837037383085578,0.5793509783599382,0.5853278580033926,0.6130952266122034,0.5887950220893672,0.5901845177151283,0.5909709470025637
yeast4,0.4274805630104548,0.417091927682955,0.4162301756548873,0.40626319858789,0.4043722222715849,0.394738515141918,0.405753665584096,0.42631064051865425,0.3996753370319368
yeast5,0.6558796480566105,0.6674701754437111,0.6515453939913376,0.6637972317727929,0.6468639382523873,0.6555667226943156,0.6559699759314015,0.6547042093426833,0.6686269654787245
yeast6,0.6059973833738052,0.6027100677551287,0.6192423310309387,0.5899493295647037,0.5724677549621957,0.543612855563293,0.5816075861477416,0.6063558212867208,0.5806025599487029
cleveland-0_vs_4,0.7696382057096341,0.7765346173434408,0.7836579515255986,0.7822629222629223,0.7794816294816295,0.7877095606982824,0.7668468993944446,0.7690887551601836,0.7714669035732723
ecoli-0-1-4-7_vs_2-3-5-6,0.8542730098799034,0.844705913323587,0.8509891363990828,0.8480027878678016,0.8552728408006771,0.8339444289718785,0.8408521672424285,0.8597086743044592,0.8556260097744774
ecoli-0-1_vs_2-3-5,0.8681829834259327,0.8633573133883962,0.8626310114498782,0.8628779576420611,0.858082501798572,0.86958304852356,0.8556803623981539,0.868930869613225,0.8565254682346417
ecoli-0-2-6-7_vs_3-5,0.8694869277927287,0.8810698408171224,0.8786029580937902,0.875374677205359,0.8672802195409737,0.8836370471871702,0.8744319808819364,0.8732201056691291,0.867629180794981
ecoli-0-6-7_vs_3-5,0.8768705422630518,0.8911570521186937,0.8849144589718223,0.8817121543424331,0.8844581981063095,0.8885578490369233,0.8860133738308571,0.88178153877749,0.8832818468829757
ecoli-0-6-7_vs_5,0.8826292124840511,0.882204156103999,0.8750082180720815,0.892523651975198,0.8732137045608315,0.8840123909442026,0.8768497910785686,0.8785989128353304,0.8622577771014491
