Dataset,SMOTE,pf-SMOTE,Lee,SMOBD,G-SMOTE,LVQ-SMOTE,A-SMOTE,SMOTE-TL,LNE
abalone19,0.5990071221632062,0.5646924794785128,0.6018077015934331,0.59133268952197,0.5987687107677451,0.6739995774987928,0.594809270883631,0.5990071221632062,0.6645446040560117
abalone9-18,0.7474076749000914,0.7211473831190716,0.7422392748808321,0.7461890919158362,0.7418277240117482,0.8045012398285906,0.7475043935673359,0.7472623260628822,0.7632370961529202
ecoli-0-1-3-7_vs_2-6,0.85,0.85,0.85,0.85,0.85,0.8492700729927007,0.85,0.85,0.8062956204379562
glass-0-1-6_vs_2,0.730451062347614,0.7137843956809473,0.7222135144548938,0.7409569836293974,0.7336947056774644,0.6710444966910485,0.7483564089167538,0.730451062347614,0.7096329676071056
glass-0-1-6_vs_5,0.8104414838035527,0.7904414838035527,0.8098733019853711,0.7804414838035527,0.7785096656217345,0.7491980146290491,0.7898733019853709,0.8104414838035527,0.8120271682340648
glass2,0.6489744382601526,0.6543869820655535,0.6579339311482169,0.6555297876726448,0.6332650484436197,0.7122423211708926,0.6447394867037723,0.6484642341785198,0.6002267573696145
glass4,0.8757588401697312,0.8600822725129655,0.8841020744931635,0.8826020744931636,0.876944365865158,0.90342927864215,0.8600822725129657,0.875758840169731,0.8823019801980199
glass5,0.8176265943270513,0.7986022272986865,0.808112031220255,0.7586069864839139,0.8076313535122788,0.7105777650866172,0.8281167904054826,0.8176265943270513,0.8272682276794214
page-blocks-1-3_vs_4,0.912033462033462,0.9007722007722009,0.9131595881595883,0.9142857142857144,0.8955598455598455,0.8802445302445301,0.9154118404118405,0.912033462033462,0.9036036036036037
yeast-0-5-6-7-9_vs_4,0.748259406111978,0.7374131008051756,0.7482784576978523,0.7413213832684667,0.7424409398133248,0.7641550686576529,0.7507486104837815,0.7574636967757815,0.7569503560677571
yeast-1-2-8-9_vs_7,0.6022400129387029,0.5806121148119607,0.598306694827373,0.5971618574649656,0.6201325741359135,0.6631100931396333,0.5949256024583536,0.6022402507825062,0.6728955104603704
yeast-1-4-5-8_vs_7,0.5576431708707943,0.5535636807046919,0.5778389995025419,0.567309085283733,0.5770101554253266,0.5957206772710175,0.5421530533008165,0.560544322304323,0.5943796940025965
yeast-1_vs_7,0.6931801057741069,0.6628276461638775,0.6655046004491778,0.68898753894081,0.6579689198000435,0.6793171774251975,0.6804792436426863,0.690437586032022,0.6900394841701079
yeast-2_vs_4,0.8700103660707109,0.8647804523063144,0.871582130513165,0.8689743331381262,0.8598676926521753,0.8703456399921917,0.8664937562437564,0.8700103660707109,0.8641391912685016
yeast-2_vs_8,0.7778354978354979,0.7732683982683982,0.7726190476190476,0.7683116883116883,0.758051948051948,0.7815584415584416,0.770887445887446,0.7778354978354978,0.7780735930735931
