Dataset,SMOTE,pf-SMOTE,Lee,SMOBD,G-SMOTE,LVQ-SMOTE,A-SMOTE,SMOTE-TL,LNE
abalone19,0.3122326349556041,0.1936594000196324,0.3247150308493237,0.299735832697098,0.29976441415390476,0.6607915548978803,0.29974947421254117,0.3122326349556041,0.9629098831324658
abalone9-18,0.6510899144733335,0.5733792493245021,0.6327097720740258,0.6511612613830928,0.637716217696671,0.869491913124399,0.64204271326389,0.6510899144733334,0.9145318768438951
ecoli-0-1-3-7_vs_2-6,0.70011715838063,0.70011715838063,0.70011715838063,0.70011715838063,0.70011715838063,0.7000905323269172,0.70011715838063,0.70011715838063,0.710104247915014
glass-0-1-6_vs_2,0.668349463916747,0.6130588629358751,0.6470578106130491,0.6590076614737368,0.6116878971276181,0.8005774269183339,0.646997542450023,0.668349463916747,0.909026235595832
glass-0-1-6_vs_5,0.6053420608041507,0.5903166275721489,0.6053034607216976,0.5453553594968208,0.5653166275721488,0.5193489908180886,0.5901750408779554,0.6053420608041507,0.847005586982438
glass2,0.44493429093740244,0.42327384511987154,0.44605228242702644,0.45610931673760824,0.434413770386654,0.7583111136942385,0.457293439463784,0.4449035157105502,0.7647276726061139
glass4,0.7850957205643838,0.7377297917414172,0.7874789340502212,0.7873001852915321,0.7732980371323513,0.8745153467797395,0.7377981080319188,0.7850957205643838,0.9059487169423257
glass5,0.6250584387506848,0.6051058931814549,0.6250866421835191,0.5252214874265522,0.6250590638908456,0.4588979304932975,0.6650488547117843,0.6250584387506848,0.8953454824776308
page-blocks-1-3_vs_4,0.8757541157638877,0.8274561380759746,0.8758963029757483,0.8759021749568013,0.8331821933094437,0.9285502419895177,0.875712426758762,0.8757541157638877,0.9337485504313451
yeast-0-5-6-7-9_vs_4,0.6636579925085098,0.6270557665453997,0.6747557988382391,0.6837029688185051,0.6306652240471564,0.8386573065867035,0.6823774457886784,0.6525947266244781,0.8942088319035433
yeast-1-2-8-9_vs_7,0.4171149265597786,0.3782568434245015,0.41714354387038516,0.4171694018871078,0.4245499688615181,0.7293123792997512,0.42371619197083454,0.4171125551480393,0.9330251126584874
yeast-1-4-5-8_vs_7,0.33055423410026097,0.2785713229330976,0.3372897649157426,0.3241291480015587,0.3180097993081827,0.683478498472618,0.2845938869295058,0.3241077845087392,0.8968212462236045
yeast-1_vs_7,0.5528649896937364,0.48210577452495745,0.5596436221573236,0.5660495285000012,0.5007855964461398,0.8260671899686761,0.5725070178375906,0.5663972931315392,0.9022594409545913
yeast-2_vs_4,0.8070730830559457,0.800221806482087,0.8071198619504114,0.8069917517567479,0.7884006752979951,0.8643237752606197,0.792592078686934,0.8070730830559457,0.8731590737268983
yeast-2_vs_8,0.5879566488156126,0.5503350844008775,0.6043230703281262,0.5873329272810466,0.61471596961625,0.7166946056861674,0.595063094462309,0.5879566488156127,0.9592019182601259
yeast4,0.6479968856584071,0.5755780924647698,0.6522829640864364,0.644491315185418,0.6053073333550325,0.84342774010963,0.6486208578811297,0.6479968856584071,0.9521249772394096
yeast5,0.8766068671907942,0.8811761540776905,0.8856873656421715,0.8856964096925554,0.8857002589486935,0.9301248730155531,0.8811220976939366,0.8766068671907942,0.9606880093293846
yeast6,0.7096582733739683,0.6752974081482825,0.6975072273425604,0.6984355036560719,0.7094905732241725,0.8369746119436355,0.7044572447960558,0.7096432659384325,0.9476106864481533
cleveland-0_vs_4,0.41783480011170093,0.30824921463657146,0.41781928702520155,0.4057742363350778,0.35813999125270846,0.7345074869425486,0.41783480011170093,0.41783480011170104,0.9128586739722924
ecoli-0-1-4-7_vs_2-3-5-6,0.7701071291703698,0.7366475262302832,0.76870778992983,0.7830405359213966,0.7747648048746864,0.8632528357481748,0.7745861887361661,0.7701071291703698,0.8502859787324999
ecoli-0-1_vs_2-3-5,0.7256006497059645,0.7337577316336559,0.7244195231978522,0.7416450344309768,0.7421605347275047,0.8782819179920127,0.7488947678200545,0.7256743717133312,0.9039983000603259
ecoli-0-2-6-7_vs_3-5,0.7169189691289383,0.7086796394346034,0.6885128257183613,0.7352873724285451,0.706886998340621,0.8329931602169461,0.7087764630318537,0.716842850016391,0.8243950929592435
ecoli-0-6-7_vs_3-5,0.7411622186677713,0.7249158623712602,0.7058624409820119,0.7502278040585687,0.7328451487737506,0.7877927185149665,0.7085595892593719,0.7411622186677713,0.8703616969922809
ecoli-0-6-7_vs_5,0.7394810064091988,0.7398430159535516,0.7389907220056109,0.7390226595763622,0.7400864664634431,0.8311545553196782,0.7491599854348385,0.7396466605824016,0.8858367907757755
glass-0-1-4-6_vs_2,0.6307329675280002,0.5135531701305984,0.607518052009684,0.6086984240791209,0.5727259395699952,0.7751762278719904,0.6304716751656011,0.6307329675280002,0.8246051788689523
glass-0-1-5_vs_2,0.5928497806951168,0.5228968610759013,0.5928832422559339,0.6161547246109504,0.5823692095783926,0.735974400603648,0.5814623524104026,0.5928497806951168,0.859074864064862
yeast-0-2-5-6_vs_3-7-8-9,0.7665759815758345,0.6302568481062987,0.7665608716933441,0.7572888770085483,0.7323609209973084,0.7513797049688923,0.7620209040217736,0.7665584917986417,0.895778408159625
yeast-0-3-5-9_vs_7-8,0.6456755873057933,0.49065849905168823,0.6646640480804871,0.6754267592130487,0.5986463265283695,0.7590520522519472,0.6611731823401943,0.6458224587955137,0.8916826096417185
abalone-17_vs_7-8-9-10,0.7257984707698627,0.6645383961367386,0.7428844909330902,0.7189336784498191,0.7189638034426837,0.8599187800622943,0.7359589033801115,0.7257997735118669,0.9666071009063166
abalone-19_vs_10-11-12-13,0.41723815164101596,0.24957891541734128,0.41722388715736924,0.4297061565959801,0.3988514447407908,0.736710097372846,0.4234603830165799,0.41723752024178484,0.944735610273861
abalone-20_vs_8-9-10,0.645858218373908,0.5767491609289102,0.6381713818664637,0.6304473364394501,0.6151348417733865,0.8826951103747133,0.630470577035014,0.6458592253048323,0.9666991946067108
abalone-21_vs_8,0.5427595448342417,0.49997288411282825,0.5855213054094353,0.5427322387165351,0.5712880697236612,0.7416262519662611,0.5426274131251694,0.5427645033068081,0.9237766995308503
flare-F,0.6332796058075222,0.560787231090593,0.6470760026301356,0.6560437040782426,0.628535441845368,0.7870687648828398,0.6469650729985317,0.6377574018760015,0.9391375514280075
kddcup-buffer_overflow_vs_back,0.9800034599830537,0.986668971925786,0.986668971925786,0.986668971925786,0.986668971925786,1.0,0.986668971925786,0.9800034599830537,0.9933221148696824
kddcup-rootkit-imap_vs_back,0.9545495744109982,0.9636396586310614,0.9545495744109982,0.9545495744109983,0.9545495744109983,0.9545495744109982,0.9545494082532697,0.9545495744109983,0.9545495744109982
kr-vs-k-zero_vs_eight,0.8796243955681275,0.8642623189401808,0.8796243805252739,0.871937134601127,0.871940239222233,0.9172801916975141,0.871940448803542,0.8796243955681277,0.929138379553595
poker-8-9_vs_5,0.26268194446852944,0.1692005122301893,0.3049528341977743,0.27996985421439813,0.21530557192512617,0.7001109117054465,0.24858878656482153,0.26268194446852944,0.9201964500010739
poker-8-9_vs_6,0.464808132929927,0.4494248310949094,0.47250156604483584,0.47250212895575333,0.4398040050235199,0.9746440935144662,0.48916466763300404,0.464808132929927,0.9498853419129706
poker-8_vs_6,0.5653040470190723,0.4361400077305813,0.554194624716786,0.5416934988871939,0.47085791407352423,0.95540360635773,0.5430806990151383,0.5653040470190722,0.9243614174629358
poker-9_vs_7,0.22515793458437577,0.20013639523917187,0.17511485589396797,0.20014357914366374,0.17510769672601953,0.20012921133467998,0.20012921958256116,0.22515793458437577,0.8286539935442041
winequality-red-3_vs_5,0.09998529563546114,0.09999567177041879,0.09999307840967506,0.09999827064424324,0.09999307893313311,0.1799775618921689,0.09998529124310578,0.09998529563546114,0.9090982656433975
winequality-red-4,0.41828134705683845,0.33158405932940227,0.40321031689511705,0.43637418741097755,0.3764116482728033,0.6321190849351723,0.4179771673188502,0.4182776935642158,0.9373807243805942
winequality-red-8_vs_6-7,0.18865386286010208,0.0888239093655252,0.1886612679334289,0.16645965725425463,0.1110307599215972,0.45361272397676206,0.13317554416048386,0.18865386286010208,0.940786633905024
winequality-red-8_vs_6,0.2552476896401099,0.22202507131058707,0.2663588080076503,0.25525454372469697,0.2553584264832088,0.4425112067556345,0.2995873245006925,0.25524768964010985,0.9037962093978285
winequality-white-3-9_vs_5,0.1422305237000034,0.07947400606970646,0.18957395969825497,0.18960278465975045,0.09548250834885798,0.46369485384418435,0.15758197832842616,0.1422310890613228,0.9600319316122834
winequality-white-3_vs_7,0.11990150936063852,0.08996336490442738,0.12987730684154314,0.12991234555601844,0.1099365491952844,0.5393705543249733,0.13988087899222237,0.11989841657897696,0.9605095484732213
winequality-white-9_vs_4,0.6668182510878419,0.6001516122596641,0.6001671998888325,0.4000297353553375,0.6001820675665013,0.10000000883665834,0.5334395947700026,0.6668182510878419,0.55807322559502
zoo-3,0.23337681105565417,0.23337681105565417,0.23337681105565417,0.2000433651344319,0.23337681105565417,0.10008673026886383,0.23337681105565417,0.23337681105565417,0.5696754949157717
ecoli1,0.8803876405650763,0.8526944130221045,0.8773477431745945,0.8801016197178825,0.87883102203237,0.9179215910985201,0.8820817053952995,0.8805696455565947,0.9075979910648346
ecoli2,0.9062327094501482,0.8997588054292555,0.9034623486037827,0.909877368168333,0.9091801111315677,0.9100264769428164,0.906237942644356,0.9061275371976899,0.9128917185710936
ecoli3,0.8710192306094271,0.8391085872942255,0.8655830979325037,0.8600945611991182,0.8755789241237639,0.924783198963414,0.8712738424736809,0.8595662334421099,0.8990546051512276
glass0,0.8049388137930986,0.8018261383658407,0.8062277131299613,0.8020690693110915,0.8122084643652846,0.8189730132989131,0.8083517707983223,0.8107811284885974,0.8140805984556406
glass1,0.7308907405267532,0.7205133525537145,0.729445689536789,0.7245674524562145,0.7265474977627435,0.7438042684601648,0.7335133620161386,0.7308907405267532,0.7387113709309077
haberman,0.7104103888514129,0.567181312591337,0.7198710368791685,0.703019585193262,0.6829127995189499,0.7499707293372133,0.716443491472573,0.7137695712182156,0.7491115145534629
page-blocks0,0.9574342876155114,0.909311154518722,0.9576856723590226,0.941439541938472,0.957282367471375,0.8469590904783187,0.9570565951500992,0.9570641921842358,0.9669452415065989
pima,0.7398120261118135,0.6880381609626557,0.7422631302259076,0.7361600385806264,0.7359602792842134,0.7307588955699446,0.7372084418915186,0.7408021518608625,0.7692440361187216
vehicle1,0.8667866004479544,0.7951150688885005,0.8667084799541047,0.8691347461705459,0.8677114185193204,0.8361479705461304,0.8648496266175132,0.8675663588007552,0.8735864931141787
vehicle3,0.8686415483498303,0.7963867555349999,0.8686510468047628,0.8660260323047428,0.860429752264338,0.8526446315296724,0.8659188641759267,0.8687188048518182,0.8665011017287702
yeast1,0.767005644494677,0.6868453445314785,0.7655730445999285,0.7607657301025709,0.761249852605131,0.7545779428703072,0.7640629127363692,0.7661578100793172,0.7820093338167945
yeast3,0.8526531436587159,0.8256068104424286,0.8475863002241544,0.8512298061456078,0.8383807326516106,0.90193643801719,0.8543778177171119,0.8575502062276653,0.9418376138355325
AVERAGE,0.6231028055844038,0.5728505546942755,0.6229369557361951,0.6165660686288769,0.6055703294367165,0.7399869109573897,0.6198818349553683,0.6231710877599145,0.884721870419516
