Dataset,SMOTE,pf-SMOTE,Lee,SMOBD,G-SMOTE,LVQ-SMOTE,A-SMOTE,SMOTE-TL,LNE
abalone19,0.5103236062066562,0.39565256236732405,0.5162583492412696,0.5046463098237731,0.5015272014343835,0.6664789215650512,0.5015921241571591,0.5103236062066562,0.6333584491055554
abalone9-18,0.7315899591104786,0.7166342576610487,0.7298054972838972,0.7363715770442233,0.7356040944882916,0.7959178711923067,0.7407614927115364,0.7314714113998112,0.7621612866257106
ecoli-0-1-3-7_vs_2-6,0.8307438208038285,0.8307438208038285,0.8307438208038285,0.8307438208038285,0.8307438208038285,0.8301286370311477,0.8307438208038285,0.8307438208038285,0.6884295821074512
glass-0-1-6_vs_2,0.740164718637742,0.7255155095635372,0.7367564601483322,0.7398250143502556,0.7109996889778623,0.6788213631952551,0.7365936126862836,0.7381918053497265,0.7077460478130149
glass-0-1-6_vs_5,0.7644727813688893,0.7474697637372794,0.7639735773199648,0.7198581903949425,0.7335788383303368,0.5811236434266078,0.7458276650107711,0.7644727813688892,0.7207663608291044
glass2,0.5376815656723969,0.537827491335696,0.5382152097551609,0.5484060518080993,0.5337237481465646,0.6956201537982378,0.5377914879836612,0.5373715908380383,0.4993631827097307
glass4,0.8657899165228123,0.8376334254041173,0.8667426663053648,0.8653362029981307,0.8599077019186883,0.8936128346089933,0.8419394100219056,0.8657899165228123,0.8769030453347668
glass5,0.7878211685872768,0.7601293307286882,0.7740326536094049,0.7053503614525605,0.7735599622438969,0.526493489598645,0.800056126469548,0.7878211685872768,0.8185540934222951
page-blocks-1-3_vs_4,0.9049704062582229,0.8857009773469071,0.9061483037071822,0.9071512203108885,0.8869093526946337,0.8609201804869698,0.908912645643368,0.9049704062582229,0.9165049277443152
yeast-0-5-6-7-9_vs_4,0.7415629924212723,0.7113119379084119,0.7424141307468857,0.735694837234988,0.7326404620297946,0.7520437694377058,0.7544423656819413,0.7415954931813493,0.7367536679139697
yeast-1-2-8-9_vs_7,0.5540036536606935,0.5343057622952412,0.5653357414754021,0.5601947916378865,0.5994029788933262,0.6266287283504794,0.5412120576673075,0.5545812986933315,0.6569137637546559
yeast-1-4-5-8_vs_7,0.5085044723966419,0.481923099852197,0.5141155852795465,0.512120331842258,0.5185310640512623,0.5692651472425043,0.4716272631494431,0.5070713394030639,0.5855047955480692
yeast-1_vs_7,0.679059738649596,0.6317725820776084,0.6722629201643036,0.6689983160429397,0.6380398458588465,0.6671522985769706,0.6749961213173113,0.6785030035935689,0.7243129165790126
yeast-2_vs_4,0.8657143842484423,0.8662398995165571,0.8669364440636604,0.8634449175534515,0.8537843221318349,0.8672857445195457,0.8608996688953413,0.8657143842484423,0.864361605852646
yeast-2_vs_8,0.736222020952346,0.736689376356808,0.7162581724588575,0.7349559391947948,0.6979659394366379,0.7481380731713476,0.7164463274675977,0.736222020952346,0.7503146406960463
yeast4,0.7355542135162662,0.7141593470030074,0.758474562211015,0.7490067272704857,0.7272252300627163,0.8078034876943707,0.7482397334045892,0.7426954847051416,0.8037734780849621
yeast5,0.9225999694682099,0.925615299512337,0.9275830441502875,0.9277287304108215,0.9277955585095935,0.9382322505011356,0.9246717705661606,0.9225999694682099,0.922746418621154
yeast6,0.825289381295572,0.8038816066917123,0.8165088359165835,0.8144854802769126,0.8213486770944625,0.8554390888559207,0.8192866686680246,0.8249232607110505,0.865029050991315
cleveland-0_vs_4,0.6296384198997924,0.5362429678514911,0.6295302155118893,0.6090187791254983,0.5698916783760049,0.8374191295874585,0.6296384198997922,0.6296384198997923,0.8971767880188001
ecoli-0-1-4-7_vs_2-3-5-6,0.8569389924128439,0.8421659857997363,0.8601779747749163,0.8618651591543616,0.8481305073995971,0.8709615421319427,0.8566412962457293,0.8569389924128439,0.8519838793012035
ecoli-0-1_vs_2-3-5,0.8407300390610313,0.8450722417847834,0.8230851038525815,0.851797505233377,0.8506310632580014,0.8817615709182602,0.8547888559066085,0.8411263997523537,0.8675940164606665
